Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Iteration 39;Iteration 40;Iteration 41;Iteration 42;Iteration 43;Iteration 44;Iteration 45;Iteration 46;Iteration 47;Iteration 48;Iteration 49;Iteration 50;Iteration 51;Iteration 52;Iteration 53;Iteration 54;Iteration 55;Iteration 56;Iteration 57;Iteration 58;Iteration 59;Iteration 60;Iteration 61;Iteration 62;Iteration 63;Iteration 64;Iteration 65;Iteration 66;Iteration 67;Iteration 68;Iteration 69;Iteration 70;Iteration 71;Iteration 72;Iteration 73;Iteration 74;Iteration 75;Iteration 76;Iteration 77;Iteration 78;Iteration 79;Iteration 80;Iteration 81;Iteration 82;Iteration 83;Iteration 84;Iteration 85;Iteration 86;Iteration 87;Iteration 88;Iteration 89;Iteration 90;Iteration 91;Iteration 92;Iteration 93;Iteration 94;Iteration 95;Iteration 96;Iteration 97;Iteration 98;Iteration 99;Iteration 100;
m_start (ReduceSum);0.00000000000000000e+00;4.17730580000000000e+07;1.66454320000000000e+07;2.46099800000000000e+07;2.12014400000000000e+07;2.23615270000000000e+07;2.19742140000000000e+07;2.20969290000000000e+07;2.20552710000000000e+07;2.20449920000000000e+07;2.20697800000000000e+07;2.20706210000000000e+07;2.20729410000000000e+07;2.20657940000000000e+07;2.20554350000000000e+07;2.20655150000000000e+07;2.20679820000000000e+07;2.20735240000000000e+07;2.20726200000000000e+07;2.20801590000000000e+07;2.20541730000000000e+07;2.20709150000000000e+07;2.20537890000000000e+07;2.20841260000000000e+07;2.20647650000000000e+07;2.20865070000000000e+07;2.20716000000000000e+07;2.20548310000000000e+07;2.20456410000000000e+07;2.20715660000000000e+07;2.20550760000000000e+07;2.20719420000000000e+07;2.20595120000000000e+07;2.20708380000000000e+07;2.20947430000000000e+07;2.20501190000000000e+07;2.20634320000000000e+07;2.20497070000000000e+07;2.20722320000000000e+07;2.20625370000000000e+07;2.20782160000000000e+07;2.20626240000000000e+07;2.20839430000000000e+07;2.20638830000000000e+07;2.20595290000000000e+07;2.20714330000000000e+07;2.20630490000000000e+07;2.20710580000000000e+07;2.20769050000000000e+07;2.20728540000000000e+07;2.20597210000000000e+07;2.20706760000000000e+07;2.20803330000000000e+07;2.20666180000000000e+07;2.20666050000000000e+07;2.20637650000000000e+07;2.20739400000000000e+07;2.20799440000000000e+07;2.20766570000000000e+07;2.20667300000000000e+07;2.20681060000000000e+07;2.20973410000000000e+07;2.20663440000000000e+07;2.20733470000000000e+07;2.20456990000000000e+07;2.20683920000000000e+07;2.20739220000000000e+07;2.20577200000000000e+07;2.20814540000000000e+07;2.20678390000000000e+07;2.20647950000000000e+07;2.20659790000000000e+07;2.20672860000000000e+07;2.20670390000000000e+07;2.20843130000000000e+07;2.20866770000000000e+07;2.20457110000000000e+07;2.20705460000000000e+07;2.20615320000000000e+07;2.20682510000000000e+07;2.20584910000000000e+07;2.20815200000000000e+07;2.20731280000000000e+07;2.20601390000000000e+07;2.20678180000000000e+07;2.20680160000000000e+07;2.20710500000000000e+07;2.20585670000000000e+07;2.20534870000000000e+07;2.20562590000000000e+07;2.20643380000000000e+07;2.20792550000000000e+07;2.20696350000000000e+07;2.20616330000000000e+07;2.20653900000000000e+07;2.20599360000000000e+07;2.20576070000000000e+07;2.20611120000000000e+07;2.20622820000000000e+07;2.20652410000000000e+07;
m_source (ReduceSum);1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;1.67772160000000000e+07;
m_rr (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;1.92963100000000000e+06;8.01034000000000000e+05;1.23898200000000000e+06;1.07122800000000000e+06;1.13859600000000000e+06;1.11170000000000000e+06;1.12829900000000000e+06;1.10757900000000000e+06;1.12215700000000000e+06;1.13250200000000000e+06;1.12387200000000000e+06;1.13306500000000000e+06;1.11703400000000000e+06;1.11465100000000000e+06;1.11726000000000000e+06;1.13188400000000000e+06;1.12181700000000000e+06;1.12202700000000000e+06;1.11600300000000000e+06;1.11785300000000000e+06;1.12140200000000000e+06;1.12107500000000000e+06;1.12440400000000000e+06;1.12896300000000000e+06;1.12415700000000000e+06;1.12322400000000000e+06;1.12039700000000000e+06;1.11121200000000000e+06;1.10872900000000000e+06;1.12564700000000000e+06;1.12226600000000000e+06;1.12868400000000000e+06;1.12942900000000000e+06;1.12189100000000000e+06;1.12160900000000000e+06;1.12898800000000000e+06;1.11907600000000000e+06;1.12545900000000000e+06;1.11904400000000000e+06;1.12181900000000000e+06;1.12038700000000000e+06;1.11916800000000000e+06;1.12360900000000000e+06;1.11933800000000000e+06;1.12475300000000000e+06;1.11974000000000000e+06;1.11693500000000000e+06;1.11470900000000000e+06;1.13062600000000000e+06;1.12121500000000000e+06;1.12131300000000000e+06;1.12262600000000000e+06;1.12427800000000000e+06;1.12926500000000000e+06;1.12979300000000000e+06;1.12624000000000000e+06;1.13250800000000000e+06;1.12373100000000000e+06;1.10921400000000000e+06;1.12293700000000000e+06;1.12377200000000000e+06;1.12584700000000000e+06;1.13502600000000000e+06;1.12349500000000000e+06;1.12948100000000000e+06;1.13204400000000000e+06;1.12696200000000000e+06;1.12658500000000000e+06;1.12541100000000000e+06;1.11718400000000000e+06;1.10926300000000000e+06;1.12098100000000000e+06;1.11798400000000000e+06;1.13048600000000000e+06;1.12484800000000000e+06;1.11932400000000000e+06;1.10906600000000000e+06;1.11625000000000000e+06;1.12817500000000000e+06;1.12809900000000000e+06;1.12032600000000000e+06;1.13081100000000000e+06;1.12471900000000000e+06;1.11592600000000000e+06;1.12535800000000000e+06;1.12056500000000000e+06;1.12442600000000000e+06;1.12417400000000000e+06;1.10761000000000000e+06;1.13116700000000000e+06;1.11392800000000000e+06;1.11571700000000000e+06;1.12238000000000000e+06;1.12308600000000000e+06;1.11509700000000000e+06;1.12198400000000000e+06;
m_split (ReduceSum);1.50994944000000000e+08;1.09217832000000000e+08;1.34350076000000000e+08;1.26386607000000000e+08;1.29791454000000000e+08;1.28632901000000000e+08;1.29018993000000000e+08;1.28894462000000000e+08;1.28941077000000000e+08;1.28946302000000000e+08;1.28925780000000000e+08;1.28923943000000000e+08;1.28915899000000000e+08;1.28927400000000000e+08;1.28937196000000000e+08;1.28928153000000000e+08;1.28925066000000000e+08;1.28914106000000000e+08;1.28923618000000000e+08;1.28909817000000000e+08;1.28945910000000000e+08;1.28917645000000000e+08;1.28942104000000000e+08;1.28907980000000000e+08;1.28928306000000000e+08;1.28912198000000000e+08;1.28920015000000000e+08;1.28939442000000000e+08;1.28952451000000000e+08;1.28918000000000000e+08;1.28938460000000000e+08;1.28929438000000000e+08;1.28936295000000000e+08;1.28922853000000000e+08;1.28897793000000000e+08;1.28943235000000000e+08;1.28938153000000000e+08;1.28938952000000000e+08;1.28919371000000000e+08;1.28930183000000000e+08;1.28917548000000000e+08;1.28935486000000000e+08;1.28910128000000000e+08;1.28927065000000000e+08;1.28933639000000000e+08;1.28927147000000000e+08;1.28931953000000000e+08;1.28923523000000000e+08;1.28918805000000000e+08;1.28920975000000000e+08;1.28936618000000000e+08;1.28924351000000000e+08;1.28919848000000000e+08;1.28932134000000000e+08;1.28926550000000000e+08;1.28935135000000000e+08;1.28919732000000000e+08;1.28920499000000000e+08;1.28913089000000000e+08;1.28929473000000000e+08;1.28926071000000000e+08;1.28902482000000000e+08;1.28934265000000000e+08;1.28923233000000000e+08;1.28948699000000000e+08;1.28924326000000000e+08;1.28923038000000000e+08;1.28938348000000000e+08;1.28912812000000000e+08;1.28925232000000000e+08;1.28931161000000000e+08;1.28931581000000000e+08;1.28930842000000000e+08;1.28924406000000000e+08;1.28914119000000000e+08;1.28911647000000000e+08;1.28948975000000000e+08;1.28930217000000000e+08;1.28930196000000000e+08;1.28925373000000000e+08;1.28933131000000000e+08;1.28914456000000000e+08;1.28917215000000000e+08;1.28934831000000000e+08;1.28928203000000000e+08;1.28923466000000000e+08;1.28924905000000000e+08;1.28936480000000000e+08;1.28938391000000000e+08;1.28937805000000000e+08;1.28928457000000000e+08;1.28911127000000000e+08;1.28926869000000000e+08;1.28936723000000000e+08;1.28927110000000000e+08;1.28931827000000000e+08;1.28943383000000000e+08;1.28932509000000000e+08;1.28932740000000000e+08;1.28932190000000000e+08;
m_absorb (ReduceSum);6.30120825000000000e+08;7.55780067000000000e+08;7.15856379000000000e+08;7.32586022000000000e+08;7.17457321000000000e+08;7.24871415000000000e+08;7.21992178000000000e+08;7.23092167000000000e+08;7.22697270000000000e+08;7.22888481000000000e+08;7.23096789000000000e+08;7.22968225000000000e+08;7.23018858000000000e+08;7.22669885000000000e+08;7.22782573000000000e+08;7.22977006000000000e+08;7.23037224000000000e+08;7.22873566000000000e+08;7.23072323000000000e+08;7.22833423000000000e+08;7.22838959000000000e+08;7.22597579000000000e+08;7.22948074000000000e+08;7.23017202000000000e+08;7.22874065000000000e+08;7.22988577000000000e+08;7.22847598000000000e+08;7.22654219000000000e+08;7.22863854000000000e+08;7.22674246000000000e+08;7.23172570000000000e+08;7.22982226000000000e+08;7.23052138000000000e+08;7.23131631000000000e+08;7.22899447000000000e+08;7.22785513000000000e+08;7.23027876000000000e+08;7.22609136000000000e+08;7.22806181000000000e+08;7.22856496000000000e+08;7.22974270000000000e+08;7.23081093000000000e+08;7.23052161000000000e+08;7.22940799000000000e+08;7.22829691000000000e+08;7.23064964000000000e+08;7.22860817000000000e+08;7.22701505000000000e+08;7.22957459000000000e+08;7.22837325000000000e+08;7.22786527000000000e+08;7.22958246000000000e+08;7.22905395000000000e+08;7.22697166000000000e+08;7.22793679000000000e+08;7.22962331000000000e+08;7.23072716000000000e+08;7.22964792000000000e+08;7.22930690000000000e+08;7.22953246000000000e+08;7.23063352000000000e+08;7.23011932000000000e+08;7.22869081000000000e+08;7.22706891000000000e+08;7.22772059000000000e+08;7.22658813000000000e+08;7.22826745000000000e+08;7.23076171000000000e+08;7.22832481000000000e+08;7.22642657000000000e+08;7.23015196000000000e+08;7.22775285000000000e+08;7.22812049000000000e+08;7.23189144000000000e+08;7.23148381000000000e+08;7.22814269000000000e+08;7.22896529000000000e+08;7.23116888000000000e+08;7.22938723000000000e+08;7.22853121000000000e+08;7.22863878000000000e+08;7.23081164000000000e+08;7.22835742000000000e+08;7.22876497000000000e+08;7.22654337000000000e+08;7.22835826000000000e+08;7.22934307000000000e+08;7.22646647000000000e+08;7.22922000000000000e+08;7.22865623000000000e+08;7.23188378000000000e+08;7.22698349000000000e+08;7.23141878000000000e+08;7.23045156000000000e+08;7.22783790000000000e+08;7.22908989000000000e+08;7.22952769000000000e+08;7.22896437000000000e+08;7.22937245000000000e+08;7.22946350000000000e+08;
m_scatter (ReduceSum);5.73263340500000000e+09;6.60491070200000000e+09;6.31340891700000000e+09;6.43183413100000000e+09;6.31192519800000000e+09;6.37208598300000000e+09;6.34823138500000000e+09;6.35757932200000000e+09;6.35410224700000000e+09;6.35574115500000000e+09;6.35816483700000000e+09;6.35648418400000000e+09;6.35737448900000000e+09;6.35378579600000000e+09;6.35490081300000000e+09;6.35687044000000000e+09;6.35727241300000000e+09;6.35568353100000000e+09;6.35815823800000000e+09;6.35529514500000000e+09;6.35559563900000000e+09;6.35297497200000000e+09;6.35687703600000000e+09;6.35717609800000000e+09;6.35620447700000000e+09;6.35706802200000000e+09;6.35531429000000000e+09;6.35335930000000000e+09;6.35555065700000000e+09;6.35362557000000000e+09;6.35888060300000000e+09;6.35661617800000000e+09;6.35777006100000000e+09;6.35847972000000000e+09;6.35550950000000000e+09;6.35498112600000000e+09;6.35761107900000000e+09;6.35311204300000000e+09;6.35514727900000000e+09;6.35578445100000000e+09;6.35687391200000000e+09;6.35763231000000000e+09;6.35756559900000000e+09;6.35656839500000000e+09;6.35565065100000000e+09;6.35758816900000000e+09;6.35588378600000000e+09;6.35427077400000000e+09;6.35639870700000000e+09;6.35529191600000000e+09;6.35496771000000000e+09;6.35649748800000000e+09;6.35615847800000000e+09;6.35373533100000000e+09;6.35491608500000000e+09;6.35686503900000000e+09;6.35785105200000000e+09;6.35664064200000000e+09;6.35656499900000000e+09;6.35679146900000000e+09;6.35801546000000000e+09;6.35692826900000000e+09;6.35594606200000000e+09;6.35397891500000000e+09;6.35474888300000000e+09;6.35393633500000000e+09;6.35507161600000000e+09;6.35808934600000000e+09;6.35538172000000000e+09;6.35358964500000000e+09;6.35722301600000000e+09;6.35477488800000000e+09;6.35525065900000000e+09;6.35924910700000000e+09;6.35862905900000000e+09;6.35501289900000000e+09;6.35622599300000000e+09;6.35816112600000000e+09;6.35644402500000000e+09;6.35550145600000000e+09;6.35555807200000000e+09;6.35792655400000000e+09;6.35549261200000000e+09;6.35601499400000000e+09;6.35338623700000000e+09;6.35562797200000000e+09;6.35643376300000000e+09;6.35338555200000000e+09;6.35603505900000000e+09;6.35567308600000000e+09;6.35923065900000000e+09;6.35394394900000000e+09;6.35822697500000000e+09;6.35730739800000000e+09;6.35478231500000000e+09;6.35628119100000000e+09;6.35669490700000000e+09;6.35590974200000000e+09;6.35618092500000000e+09;6.35627874600000000e+09;
m_fission (ReduceSum);5.04121723000000000e+08;6.04657393000000000e+08;5.72693635000000000e+08;5.86013659000000000e+08;5.73978369000000000e+08;5.79875019000000000e+08;5.77557666000000000e+08;5.78450059000000000e+08;5.78107294000000000e+08;5.78301451000000000e+08;5.78522933000000000e+08;5.78376965000000000e+08;5.78440753000000000e+08;5.78087412000000000e+08;5.78202113000000000e+08;5.78407169000000000e+08;5.78457518000000000e+08;5.78295991000000000e+08;5.78496288000000000e+08;5.78252288000000000e+08;5.78254392000000000e+08;5.78007619000000000e+08;5.78375094000000000e+08;5.78430498000000000e+08;5.78311687000000000e+08;5.78405331000000000e+08;5.78258002000000000e+08;5.78057334000000000e+08;5.78284269000000000e+08;5.78085764000000000e+08;5.78594157000000000e+08;5.78374354000000000e+08;5.78458682000000000e+08;5.78581114000000000e+08;5.78302080000000000e+08;5.78207059000000000e+08;5.78428211000000000e+08;5.78037384000000000e+08;5.78221508000000000e+08;5.78293764000000000e+08;5.78382990000000000e+08;5.78515169000000000e+08;5.78463801000000000e+08;5.78353983000000000e+08;5.78251127000000000e+08;5.78471385000000000e+08;5.78283266000000000e+08;5.78125951000000000e+08;5.78382140000000000e+08;5.78245741000000000e+08;5.78200583000000000e+08;5.78381045000000000e+08;5.78325242000000000e+08;5.78109018000000000e+08;5.78208386000000000e+08;5.78382781000000000e+08;5.78506050000000000e+08;5.78393055000000000e+08;5.78360251000000000e+08;5.78374173000000000e+08;5.78521808000000000e+08;5.78424968000000000e+08;5.78273817000000000e+08;5.78101731000000000e+08;5.78192609000000000e+08;5.78088648000000000e+08;5.78245315000000000e+08;5.78507836000000000e+08;5.78258319000000000e+08;5.78069209000000000e+08;5.78434965000000000e+08;5.78194380000000000e+08;5.78229155000000000e+08;5.78621980000000000e+08;5.78568673000000000e+08;5.78205421000000000e+08;5.78313157000000000e+08;5.78530927000000000e+08;5.78362878000000000e+08;5.78260096000000000e+08;5.78285626000000000e+08;5.78497350000000000e+08;5.78256497000000000e+08;5.78300228000000000e+08;5.78069442000000000e+08;5.78268989000000000e+08;5.78344422000000000e+08;5.78043797000000000e+08;5.78334523000000000e+08;5.78279246000000000e+08;5.78622048000000000e+08;5.78124560000000000e+08;5.78537401000000000e+08;5.78466141000000000e+08;5.78187938000000000e+08;5.78313334000000000e+08;5.78358055000000000e+08;5.78310968000000000e+08;5.78345345000000000e+08;5.78352499000000000e+08;
m_produce (ReduceSum);1.00824344600000000e+09;1.20931478600000000e+09;1.14538727000000000e+09;1.17202731800000000e+09;1.14795673800000000e+09;1.15975003800000000e+09;1.15511533200000000e+09;1.15690011800000000e+09;1.15621458800000000e+09;1.15660290200000000e+09;1.15704586600000000e+09;1.15675393000000000e+09;1.15688150600000000e+09;1.15617482400000000e+09;1.15640422600000000e+09;1.15681433800000000e+09;1.15691503600000000e+09;1.15659198200000000e+09;1.15699257600000000e+09;1.15650457600000000e+09;1.15650878400000000e+09;1.15601523800000000e+09;1.15675018800000000e+09;1.15686099600000000e+09;1.15662337400000000e+09;1.15681066200000000e+09;1.15651600400000000e+09;1.15611466800000000e+09;1.15656853800000000e+09;1.15617152800000000e+09;1.15718831400000000e+09;1.15674870800000000e+09;1.15691736400000000e+09;1.15716222800000000e+09;1.15660416000000000e+09;1.15641411800000000e+09;1.15685642200000000e+09;1.15607476800000000e+09;1.15644301600000000e+09;1.15658752800000000e+09;1.15676598000000000e+09;1.15703033800000000e+09;1.15692760200000000e+09;1.15670796600000000e+09;1.15650225400000000e+09;1.15694277000000000e+09;1.15656653200000000e+09;1.15625190200000000e+09;1.15676428000000000e+09;1.15649148200000000e+09;1.15640116600000000e+09;1.15676209000000000e+09;1.15665048400000000e+09;1.15621803600000000e+09;1.15641677200000000e+09;1.15676556200000000e+09;1.15701210000000000e+09;1.15678611000000000e+09;1.15672050200000000e+09;1.15674834600000000e+09;1.15704361600000000e+09;1.15684993600000000e+09;1.15654763400000000e+09;1.15620346200000000e+09;1.15638521800000000e+09;1.15617729600000000e+09;1.15649063000000000e+09;1.15701567200000000e+09;1.15651663800000000e+09;1.15613841800000000e+09;1.15686993000000000e+09;1.15638876000000000e+09;1.15645831000000000e+09;1.15724396000000000e+09;1.15713734600000000e+09;1.15641084200000000e+09;1.15662631400000000e+09;1.15706185400000000e+09;1.15672575600000000e+09;1.15652019200000000e+09;1.15657125200000000e+09;1.15699470000000000e+09;1.15651299400000000e+09;1.15660045600000000e+09;1.15613888400000000e+09;1.15653797800000000e+09;1.15668884400000000e+09;1.15608759400000000e+09;1.15666904600000000e+09;1.15655849200000000e+09;1.15724409600000000e+09;1.15624912000000000e+09;1.15707480200000000e+09;1.15693228200000000e+09;1.15637587600000000e+09;1.15662666800000000e+09;1.15671611000000000e+09;1.15662193600000000e+09;1.15669069000000000e+09;1.15670499800000000e+09;
m_collision (ReduceSum);6.86687595300000000e+09;7.96534816200000000e+09;7.60195893100000000e+09;7.75043381200000000e+09;7.60336088800000000e+09;7.67683241700000000e+09;7.64778122900000000e+09;7.65912154800000000e+09;7.65490681100000000e+09;7.65693108700000000e+09;7.65978455900000000e+09;7.65782937400000000e+09;7.65883410000000000e+09;7.65454309300000000e+09;7.65588549900000000e+09;7.65825461500000000e+09;7.65876715500000000e+09;7.65685308800000000e+09;7.65972684900000000e+09;7.65638085600000000e+09;7.65668899000000000e+09;7.65358017000000000e+09;7.65820020400000000e+09;7.65862379800000000e+09;7.65739022900000000e+09;7.65846193000000000e+09;7.65641989000000000e+09;7.65407085300000000e+09;7.65669878000000000e+09;7.65438558000000000e+09;7.66064733000000000e+09;7.65797275800000000e+09;7.65928088100000000e+09;7.66019246500000000e+09;7.65671102700000000e+09;7.65597369800000000e+09;7.65906716600000000e+09;7.65375856300000000e+09;7.65617496800000000e+09;7.65693471100000000e+09;7.65823117200000000e+09;7.65922857200000000e+09;7.65908156100000000e+09;7.65786317700000000e+09;7.65673146900000000e+09;7.65912451800000000e+09;7.65702786900000000e+09;7.65509823000000000e+09;7.65773830600000000e+09;7.65637498200000000e+09;7.65595482000000000e+09;7.65783677900000000e+09;7.65738911500000000e+09;7.65454151500000000e+09;7.65591815000000000e+09;7.65821015100000000e+09;7.65942981800000000e+09;7.65799848900000000e+09;7.65785594000000000e+09;7.65811888800000000e+09;7.65960062000000000e+09;7.65836516900000000e+09;7.65708896000000000e+09;7.65478753700000000e+09;7.65571355100000000e+09;7.65468379600000000e+09;7.65614367600000000e+09;7.65967335300000000e+09;7.65647252000000000e+09;7.65430151100000000e+09;7.65867317700000000e+09;7.65574455300000000e+09;7.65629186300000000e+09;7.66106023100000000e+09;7.66034611300000000e+09;7.65603258900000000e+09;7.65743567900000000e+09;7.65980894100000000e+09;7.65774562600000000e+09;7.65661467300000000e+09;7.65670757600000000e+09;7.65950506800000000e+09;7.65658485100000000e+09;7.65719171900000000e+09;7.65411001600000000e+09;7.65673278700000000e+09;7.65771249200000000e+09;7.65407599600000000e+09;7.65729158200000000e+09;7.65681795500000000e+09;7.66104108500000000e+09;7.65476685800000000e+09;7.65990625400000000e+09;7.65881869500000000e+09;7.65575404300000000e+09;7.65750351400000000e+09;7.65800573100000000e+09;7.65711714700000000e+09;7.65746351500000000e+09;7.65757759500000000e+09;
m_escape (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
