Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Iteration 39;Iteration 40;Iteration 41;Iteration 42;Iteration 43;Iteration 44;Iteration 45;Iteration 46;Iteration 47;Iteration 48;Iteration 49;Iteration 50;Iteration 51;Iteration 52;Iteration 53;Iteration 54;Iteration 55;Iteration 56;Iteration 57;Iteration 58;Iteration 59;Iteration 60;Iteration 61;Iteration 62;Iteration 63;Iteration 64;Iteration 65;Iteration 66;Iteration 67;Iteration 68;Iteration 69;Iteration 70;Iteration 71;Iteration 72;Iteration 73;Iteration 74;Iteration 75;Iteration 76;Iteration 77;Iteration 78;Iteration 79;Iteration 80;Iteration 81;Iteration 82;Iteration 83;Iteration 84;Iteration 85;Iteration 86;Iteration 87;Iteration 88;Iteration 89;Iteration 90;Iteration 91;Iteration 92;Iteration 93;Iteration 94;Iteration 95;Iteration 96;Iteration 97;Iteration 98;Iteration 99;Iteration 100;
m_start (ReduceSum);0.00000000000000000e+00;8.51696000000000000e+05;3.38570000000000000e+05;4.98053000000000000e+05;4.31299000000000000e+05;4.52804000000000000e+05;4.49982000000000000e+05;4.47577000000000000e+05;4.48227000000000000e+05;4.49385000000000000e+05;4.48317000000000000e+05;4.48326000000000000e+05;4.47110000000000000e+05;4.49832000000000000e+05;4.45261000000000000e+05;4.51893000000000000e+05;4.45655000000000000e+05;4.51756000000000000e+05;4.47537000000000000e+05;4.46739000000000000e+05;4.47899000000000000e+05;4.47236000000000000e+05;4.47475000000000000e+05;4.48847000000000000e+05;4.47033000000000000e+05;4.47330000000000000e+05;4.49024000000000000e+05;4.46780000000000000e+05;4.48210000000000000e+05;4.46078000000000000e+05;4.47383000000000000e+05;4.49180000000000000e+05;4.48069000000000000e+05;4.48089000000000000e+05;4.49443000000000000e+05;4.47051000000000000e+05;4.50176000000000000e+05;4.47458000000000000e+05;4.50010000000000000e+05;4.47018000000000000e+05;4.50090000000000000e+05;4.48528000000000000e+05;4.49301000000000000e+05;4.46231000000000000e+05;4.49019000000000000e+05;4.47152000000000000e+05;4.48208000000000000e+05;4.46024000000000000e+05;4.48392000000000000e+05;4.49663000000000000e+05;4.48250000000000000e+05;4.49696000000000000e+05;4.48071000000000000e+05;4.46738000000000000e+05;4.49308000000000000e+05;4.45919000000000000e+05;4.48021000000000000e+05;4.48542000000000000e+05;4.46542000000000000e+05;4.49294000000000000e+05;4.48457000000000000e+05;4.45326000000000000e+05;4.49961000000000000e+05;4.46434000000000000e+05;4.51017000000000000e+05;4.46676000000000000e+05;4.47578000000000000e+05;4.49738000000000000e+05;4.46077000000000000e+05;4.47972000000000000e+05;4.47521000000000000e+05;4.49993000000000000e+05;4.49182000000000000e+05;4.48283000000000000e+05;4.47346000000000000e+05;4.49773000000000000e+05;4.48989000000000000e+05;4.47651000000000000e+05;4.45836000000000000e+05;4.48096000000000000e+05;4.47295000000000000e+05;4.47025000000000000e+05;4.48602000000000000e+05;4.46888000000000000e+05;4.50108000000000000e+05;4.44233000000000000e+05;4.49446000000000000e+05;4.48007000000000000e+05;4.46489000000000000e+05;4.50848000000000000e+05;4.46631000000000000e+05;4.48926000000000000e+05;4.50703000000000000e+05;4.46608000000000000e+05;4.50177000000000000e+05;4.44486000000000000e+05;4.48886000000000000e+05;4.49607000000000000e+05;4.45751000000000000e+05;4.48801000000000000e+05;
m_source (ReduceSum);3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;3.40736000000000000e+05;
m_rr (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;3.92720000000000000e+04;1.60320000000000000e+04;2.58320000000000000e+04;2.13410000000000000e+04;2.28190000000000000e+04;2.34430000000000000e+04;2.28660000000000000e+04;2.31110000000000000e+04;2.30350000000000000e+04;2.32670000000000000e+04;2.26660000000000000e+04;2.17790000000000000e+04;2.30060000000000000e+04;2.31680000000000000e+04;2.36190000000000000e+04;2.29760000000000000e+04;2.39270000000000000e+04;2.27710000000000000e+04;2.27070000000000000e+04;2.28850000000000000e+04;2.11010000000000000e+04;2.30070000000000000e+04;2.28570000000000000e+04;2.21010000000000000e+04;2.20980000000000000e+04;2.25380000000000000e+04;2.32120000000000000e+04;2.31040000000000000e+04;2.19600000000000000e+04;2.31160000000000000e+04;2.27410000000000000e+04;2.23150000000000000e+04;2.27120000000000000e+04;2.16610000000000000e+04;2.20740000000000000e+04;2.29210000000000000e+04;2.31770000000000000e+04;2.44470000000000000e+04;2.24560000000000000e+04;2.25960000000000000e+04;2.20680000000000000e+04;2.20090000000000000e+04;2.26640000000000000e+04;2.40740000000000000e+04;2.38970000000000000e+04;2.19070000000000000e+04;2.25330000000000000e+04;2.19360000000000000e+04;2.24390000000000000e+04;2.28830000000000000e+04;2.26570000000000000e+04;2.24010000000000000e+04;2.41110000000000000e+04;2.09430000000000000e+04;2.24990000000000000e+04;2.29380000000000000e+04;2.23930000000000000e+04;2.18220000000000000e+04;2.35360000000000000e+04;2.21300000000000000e+04;2.43300000000000000e+04;2.33030000000000000e+04;2.42750000000000000e+04;2.24410000000000000e+04;2.32970000000000000e+04;2.16430000000000000e+04;2.14050000000000000e+04;2.31070000000000000e+04;2.24580000000000000e+04;2.47100000000000000e+04;2.26000000000000000e+04;2.30800000000000000e+04;2.35490000000000000e+04;2.24180000000000000e+04;2.34110000000000000e+04;2.28280000000000000e+04;2.28020000000000000e+04;2.23790000000000000e+04;2.10300000000000000e+04;2.26960000000000000e+04;2.25140000000000000e+04;2.34150000000000000e+04;2.33620000000000000e+04;2.20310000000000000e+04;2.35960000000000000e+04;2.35670000000000000e+04;2.31660000000000000e+04;2.23660000000000000e+04;2.28290000000000000e+04;2.18450000000000000e+04;2.43240000000000000e+04;2.20500000000000000e+04;2.18930000000000000e+04;2.28180000000000000e+04;2.40560000000000000e+04;2.22440000000000000e+04;
m_split (ReduceSum);3.06662400000000000e+06;2.21481000000000000e+06;2.72790700000000000e+06;2.56863300000000000e+06;2.63496300000000000e+06;2.61382900000000000e+06;2.61710400000000000e+06;2.61888000000000000e+06;2.61847700000000000e+06;2.61746000000000000e+06;2.61865500000000000e+06;2.61875100000000000e+06;2.61923400000000000e+06;2.61732200000000000e+06;2.62239700000000000e+06;2.61482600000000000e+06;2.62112000000000000e+06;2.61485100000000000e+06;2.61886900000000000e+06;2.62040200000000000e+06;2.61853800000000000e+06;2.61946200000000000e+06;2.61885700000000000e+06;2.61775000000000000e+06;2.61975200000000000e+06;2.61880400000000000e+06;2.61764400000000000e+06;2.61978800000000000e+06;2.61886700000000000e+06;2.62084000000000000e+06;2.61928300000000000e+06;2.61706000000000000e+06;2.61756800000000000e+06;2.61837200000000000e+06;2.61649400000000000e+06;2.61944400000000000e+06;2.61657600000000000e+06;2.61938900000000000e+06;2.61537600000000000e+06;2.61953100000000000e+06;2.61694700000000000e+06;2.61859300000000000e+06;2.61717600000000000e+06;2.62040700000000000e+06;2.61725500000000000e+06;2.62035600000000000e+06;2.61852100000000000e+06;2.62058100000000000e+06;2.61768200000000000e+06;2.61748800000000000e+06;2.61826500000000000e+06;2.61735900000000000e+06;2.61818300000000000e+06;2.62041100000000000e+06;2.61646700000000000e+06;2.62134600000000000e+06;2.61843600000000000e+06;2.61808800000000000e+06;2.61999800000000000e+06;2.61738200000000000e+06;2.61803800000000000e+06;2.62079100000000000e+06;2.61678200000000000e+06;2.62025300000000000e+06;2.61551800000000000e+06;2.62011200000000000e+06;2.61909400000000000e+06;2.61734200000000000e+06;2.62054500000000000e+06;2.61908100000000000e+06;2.61972900000000000e+06;2.61665300000000000e+06;2.61716100000000000e+06;2.61829000000000000e+06;2.61958500000000000e+06;2.61717700000000000e+06;2.61758200000000000e+06;2.61889200000000000e+06;2.61962300000000000e+06;2.61907800000000000e+06;2.61923400000000000e+06;2.62018100000000000e+06;2.61729900000000000e+06;2.61930200000000000e+06;2.61679300000000000e+06;2.62261900000000000e+06;2.61716200000000000e+06;2.61836900000000000e+06;2.61985900000000000e+06;2.61575900000000000e+06;2.61969600000000000e+06;2.61704500000000000e+06;2.61625200000000000e+06;2.61991000000000000e+06;2.61686900000000000e+06;2.62183200000000000e+06;2.61812500000000000e+06;2.61672500000000000e+06;2.62075000000000000e+06;2.61738700000000000e+06;
m_absorb (ReduceSum);1.27804270000000000e+07;1.53933400000000000e+07;1.45008140000000000e+07;1.48423400000000000e+07;1.45504700000000000e+07;1.47025540000000000e+07;1.46857460000000000e+07;1.46829780000000000e+07;1.46836160000000000e+07;1.46652060000000000e+07;1.46603190000000000e+07;1.46882790000000000e+07;1.46757050000000000e+07;1.46793870000000000e+07;1.46863290000000000e+07;1.46904070000000000e+07;1.46823470000000000e+07;1.46989810000000000e+07;1.46676730000000000e+07;1.46697690000000000e+07;1.46462220000000000e+07;1.46709190000000000e+07;1.47028340000000000e+07;1.46586270000000000e+07;1.46763290000000000e+07;1.47161650000000000e+07;1.46751960000000000e+07;1.46492860000000000e+07;1.46857830000000000e+07;1.46578590000000000e+07;1.46721630000000000e+07;1.46959750000000000e+07;1.46606740000000000e+07;1.46869580000000000e+07;1.46760650000000000e+07;1.47112340000000000e+07;1.47069350000000000e+07;1.46944400000000000e+07;1.46875160000000000e+07;1.46752090000000000e+07;1.46453370000000000e+07;1.46878920000000000e+07;1.46803360000000000e+07;1.47104350000000000e+07;1.47062970000000000e+07;1.47074160000000000e+07;1.46472620000000000e+07;1.46913620000000000e+07;1.46452780000000000e+07;1.47044460000000000e+07;1.47025620000000000e+07;1.47142270000000000e+07;1.46387760000000000e+07;1.46881370000000000e+07;1.46717940000000000e+07;1.46575470000000000e+07;1.46721380000000000e+07;1.46911440000000000e+07;1.47011600000000000e+07;1.46792070000000000e+07;1.46947320000000000e+07;1.47306850000000000e+07;1.46698320000000000e+07;1.46738800000000000e+07;1.46664700000000000e+07;1.46688680000000000e+07;1.46760990000000000e+07;1.46995660000000000e+07;1.46546360000000000e+07;1.47077650000000000e+07;1.46826700000000000e+07;1.46797830000000000e+07;1.47041340000000000e+07;1.46697410000000000e+07;1.46870640000000000e+07;1.46823400000000000e+07;1.47105650000000000e+07;1.46667780000000000e+07;1.46653530000000000e+07;1.46853650000000000e+07;1.46703910000000000e+07;1.46694830000000000e+07;1.46909130000000000e+07;1.46963760000000000e+07;1.46792840000000000e+07;1.46689710000000000e+07;1.46735160000000000e+07;1.46793210000000000e+07;1.47014890000000000e+07;1.46892920000000000e+07;1.47073450000000000e+07;1.46952560000000000e+07;1.46873370000000000e+07;1.46955640000000000e+07;1.46943730000000000e+07;1.46684710000000000e+07;1.47171550000000000e+07;1.46747920000000000e+07;1.46543730000000000e+07;1.46820820000000000e+07;
m_scatter (ReduceSum);1.16269880000000000e+08;1.34588077000000000e+08;1.27861825000000000e+08;1.30259209000000000e+08;1.27966864000000000e+08;1.29282139000000000e+08;1.29124102000000000e+08;1.29059747000000000e+08;1.29138874000000000e+08;1.28911815000000000e+08;1.28880771000000000e+08;1.29169077000000000e+08;1.29056265000000000e+08;1.29070674000000000e+08;1.29182816000000000e+08;1.29128078000000000e+08;1.29128378000000000e+08;1.29195426000000000e+08;1.28931169000000000e+08;1.28939292000000000e+08;1.28729517000000000e+08;1.28968154000000000e+08;1.29272065000000000e+08;1.28869111000000000e+08;1.28967627000000000e+08;1.29448569000000000e+08;1.28995076000000000e+08;1.28744772000000000e+08;1.29106551000000000e+08;1.28870994000000000e+08;1.29011201000000000e+08;1.29217556000000000e+08;1.28893130000000000e+08;1.29141595000000000e+08;1.29031855000000000e+08;1.29423874000000000e+08;1.29296269000000000e+08;1.29211621000000000e+08;1.29167249000000000e+08;1.29027876000000000e+08;1.28725945000000000e+08;1.29155124000000000e+08;1.29063714000000000e+08;1.29384477000000000e+08;1.29307939000000000e+08;1.29339238000000000e+08;1.28669950000000000e+08;1.29177782000000000e+08;1.28727017000000000e+08;1.29294949000000000e+08;1.29312897000000000e+08;1.29389849000000000e+08;1.28677995000000000e+08;1.29140666000000000e+08;1.28987012000000000e+08;1.28857792000000000e+08;1.29008063000000000e+08;1.29163694000000000e+08;1.29277880000000000e+08;1.29093710000000000e+08;1.29188907000000000e+08;1.29607606000000000e+08;1.28941227000000000e+08;1.29018285000000000e+08;1.28910197000000000e+08;1.28961400000000000e+08;1.29034875000000000e+08;1.29219186000000000e+08;1.28823364000000000e+08;1.29311604000000000e+08;1.29115125000000000e+08;1.29078331000000000e+08;1.29282061000000000e+08;1.28959451000000000e+08;1.29165885000000000e+08;1.29102680000000000e+08;1.29375635000000000e+08;1.28890283000000000e+08;1.28945370000000000e+08;1.29154901000000000e+08;1.28993013000000000e+08;1.28932523000000000e+08;1.29146422000000000e+08;1.29261856000000000e+08;1.29000729000000000e+08;1.28966099000000000e+08;1.29021300000000000e+08;1.29076018000000000e+08;1.29330235000000000e+08;1.29148066000000000e+08;1.29350831000000000e+08;1.29243831000000000e+08;1.29132750000000000e+08;1.29244130000000000e+08;1.29175932000000000e+08;1.28988956000000000e+08;1.29450549000000000e+08;1.29051238000000000e+08;1.28829988000000000e+08;1.29053096000000000e+08;
m_fission (ReduceSum);1.02247630000000000e+07;1.23246680000000000e+07;1.15916540000000000e+07;1.18662170000000000e+07;1.16355480000000000e+07;1.17611990000000000e+07;1.17513330000000000e+07;1.17453530000000000e+07;1.17483800000000000e+07;1.17293850000000000e+07;1.17238030000000000e+07;1.17506870000000000e+07;1.17414920000000000e+07;1.17400250000000000e+07;1.17524940000000000e+07;1.17503860000000000e+07;1.17495980000000000e+07;1.17623430000000000e+07;1.17308890000000000e+07;1.17327670000000000e+07;1.17102120000000000e+07;1.17337310000000000e+07;1.17673200000000000e+07;1.17212120000000000e+07;1.17372390000000000e+07;1.17813260000000000e+07;1.17374290000000000e+07;1.17122930000000000e+07;1.17461460000000000e+07;1.17201260000000000e+07;1.17371530000000000e+07;1.17601720000000000e+07;1.17243500000000000e+07;1.17523200000000000e+07;1.17391840000000000e+07;1.17764940000000000e+07;1.17696170000000000e+07;1.17585280000000000e+07;1.17504860000000000e+07;1.17409350000000000e+07;1.17092690000000000e+07;1.17537830000000000e+07;1.17418100000000000e+07;1.17746760000000000e+07;1.17685070000000000e+07;1.17693890000000000e+07;1.17084850000000000e+07;1.17564870000000000e+07;1.17120280000000000e+07;1.17667160000000000e+07;1.17675400000000000e+07;1.17764430000000000e+07;1.17009630000000000e+07;1.17524430000000000e+07;1.17338590000000000e+07;1.17199680000000000e+07;1.17375980000000000e+07;1.17512630000000000e+07;1.17656770000000000e+07;1.17431900000000000e+07;1.17552200000000000e+07;1.17956150000000000e+07;1.17323230000000000e+07;1.17396040000000000e+07;1.17302050000000000e+07;1.17322250000000000e+07;1.17427040000000000e+07;1.17602680000000000e+07;1.17185470000000000e+07;1.17691400000000000e+07;1.17460820000000000e+07;1.17446900000000000e+07;1.17677960000000000e+07;1.17344880000000000e+07;1.17517700000000000e+07;1.17467230000000000e+07;1.17744580000000000e+07;1.17277530000000000e+07;1.17306650000000000e+07;1.17475780000000000e+07;1.17329530000000000e+07;1.17325220000000000e+07;1.17521940000000000e+07;1.17622540000000000e+07;1.17383940000000000e+07;1.17342440000000000e+07;1.17375410000000000e+07;1.17407290000000000e+07;1.17688490000000000e+07;1.17521470000000000e+07;1.17723740000000000e+07;1.17616180000000000e+07;1.17490830000000000e+07;1.17603320000000000e+07;1.17554010000000000e+07;1.17323530000000000e+07;1.17809080000000000e+07;1.17362930000000000e+07;1.17199930000000000e+07;1.17421820000000000e+07;
m_produce (ReduceSum);2.04495260000000000e+07;2.46493360000000000e+07;2.31833080000000000e+07;2.37324340000000000e+07;2.32710960000000000e+07;2.35223980000000000e+07;2.35026660000000000e+07;2.34907060000000000e+07;2.34967600000000000e+07;2.34587700000000000e+07;2.34476060000000000e+07;2.35013740000000000e+07;2.34829840000000000e+07;2.34800500000000000e+07;2.35049880000000000e+07;2.35007720000000000e+07;2.34991960000000000e+07;2.35246860000000000e+07;2.34617780000000000e+07;2.34655340000000000e+07;2.34204240000000000e+07;2.34674620000000000e+07;2.35346400000000000e+07;2.34424240000000000e+07;2.34744780000000000e+07;2.35626520000000000e+07;2.34748580000000000e+07;2.34245860000000000e+07;2.34922920000000000e+07;2.34402520000000000e+07;2.34743060000000000e+07;2.35203440000000000e+07;2.34487000000000000e+07;2.35046400000000000e+07;2.34783680000000000e+07;2.35529880000000000e+07;2.35392340000000000e+07;2.35170560000000000e+07;2.35009720000000000e+07;2.34818700000000000e+07;2.34185380000000000e+07;2.35075660000000000e+07;2.34836200000000000e+07;2.35493520000000000e+07;2.35370140000000000e+07;2.35387780000000000e+07;2.34169700000000000e+07;2.35129740000000000e+07;2.34240560000000000e+07;2.35334320000000000e+07;2.35350800000000000e+07;2.35528860000000000e+07;2.34019260000000000e+07;2.35048860000000000e+07;2.34677180000000000e+07;2.34399360000000000e+07;2.34751960000000000e+07;2.35025260000000000e+07;2.35313540000000000e+07;2.34863800000000000e+07;2.35104400000000000e+07;2.35912300000000000e+07;2.34646460000000000e+07;2.34792080000000000e+07;2.34604100000000000e+07;2.34644500000000000e+07;2.34854080000000000e+07;2.35205360000000000e+07;2.34370940000000000e+07;2.35382800000000000e+07;2.34921640000000000e+07;2.34893800000000000e+07;2.35355920000000000e+07;2.34689760000000000e+07;2.35035400000000000e+07;2.34934460000000000e+07;2.35489160000000000e+07;2.34555060000000000e+07;2.34613300000000000e+07;2.34951560000000000e+07;2.34659060000000000e+07;2.34650440000000000e+07;2.35043880000000000e+07;2.35245080000000000e+07;2.34767880000000000e+07;2.34684880000000000e+07;2.34750820000000000e+07;2.34814580000000000e+07;2.35376980000000000e+07;2.35042940000000000e+07;2.35447480000000000e+07;2.35232360000000000e+07;2.34981660000000000e+07;2.35206640000000000e+07;2.35108020000000000e+07;2.34647060000000000e+07;2.35618160000000000e+07;2.34725860000000000e+07;2.34399860000000000e+07;2.34843640000000000e+07;
m_collision (ReduceSum);1.39275070000000000e+08;1.62306085000000000e+08;1.53954293000000000e+08;1.56967766000000000e+08;1.54152882000000000e+08;1.55745892000000000e+08;1.55561181000000000e+08;1.55488078000000000e+08;1.55570870000000000e+08;1.55306406000000000e+08;1.55264893000000000e+08;1.55608043000000000e+08;1.55473462000000000e+08;1.55490086000000000e+08;1.55621639000000000e+08;1.55568871000000000e+08;1.55560323000000000e+08;1.55656750000000000e+08;1.55329731000000000e+08;1.55341828000000000e+08;1.55085951000000000e+08;1.55372804000000000e+08;1.55742219000000000e+08;1.55248950000000000e+08;1.55381195000000000e+08;1.55946060000000000e+08;1.55407701000000000e+08;1.55106351000000000e+08;1.55538480000000000e+08;1.55248979000000000e+08;1.55420517000000000e+08;1.55673703000000000e+08;1.55278154000000000e+08;1.55580873000000000e+08;1.55447104000000000e+08;1.55911602000000000e+08;1.55772821000000000e+08;1.55664589000000000e+08;1.55605251000000000e+08;1.55444020000000000e+08;1.55080551000000000e+08;1.55596799000000000e+08;1.55485860000000000e+08;1.55869588000000000e+08;1.55782743000000000e+08;1.55816043000000000e+08;1.55025697000000000e+08;1.55625631000000000e+08;1.55084323000000000e+08;1.55766111000000000e+08;1.55782999000000000e+08;1.55880519000000000e+08;1.55017734000000000e+08;1.55581246000000000e+08;1.55392665000000000e+08;1.55235307000000000e+08;1.55417799000000000e+08;1.55606101000000000e+08;1.55744717000000000e+08;1.55516107000000000e+08;1.55638859000000000e+08;1.56133906000000000e+08;1.55343382000000000e+08;1.55431769000000000e+08;1.55306872000000000e+08;1.55362493000000000e+08;1.55453678000000000e+08;1.55679020000000000e+08;1.55196547000000000e+08;1.55788509000000000e+08;1.55543877000000000e+08;1.55502804000000000e+08;1.55753991000000000e+08;1.55363680000000000e+08;1.55604719000000000e+08;1.55531743000000000e+08;1.55860658000000000e+08;1.55284814000000000e+08;1.55341388000000000e+08;1.55587844000000000e+08;1.55396357000000000e+08;1.55334528000000000e+08;1.55589529000000000e+08;1.55720486000000000e+08;1.55418407000000000e+08;1.55369314000000000e+08;1.55432357000000000e+08;1.55496068000000000e+08;1.55800573000000000e+08;1.55589505000000000e+08;1.55830550000000000e+08;1.55700705000000000e+08;1.55569170000000000e+08;1.55700026000000000e+08;1.55625706000000000e+08;1.55389780000000000e+08;1.55948612000000000e+08;1.55462323000000000e+08;1.55204354000000000e+08;1.55477360000000000e+08;
m_escape (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
