Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Iteration 39;Iteration 40;Iteration 41;Iteration 42;Iteration 43;Iteration 44;Iteration 45;Iteration 46;Iteration 47;Iteration 48;Iteration 49;Iteration 50;Iteration 51;Iteration 52;Iteration 53;Iteration 54;Iteration 55;Iteration 56;Iteration 57;Iteration 58;Iteration 59;Iteration 60;Iteration 61;Iteration 62;Iteration 63;Iteration 64;Iteration 65;Iteration 66;Iteration 67;Iteration 68;Iteration 69;Iteration 70;Iteration 71;Iteration 72;Iteration 73;Iteration 74;Iteration 75;Iteration 76;Iteration 77;Iteration 78;Iteration 79;Iteration 80;Iteration 81;Iteration 82;Iteration 83;Iteration 84;Iteration 85;Iteration 86;Iteration 87;Iteration 88;Iteration 89;Iteration 90;Iteration 91;Iteration 92;Iteration 93;Iteration 94;Iteration 95;Iteration 96;Iteration 97;Iteration 98;Iteration 99;Iteration 100;
m_start (ReduceSum);0.00000000000000000e+00;9.48880000000000000e+04;9.02420000000000000e+04;9.19030000000000000e+04;9.15870000000000000e+04;9.14800000000000000e+04;9.15290000000000000e+04;9.16360000000000000e+04;9.19460000000000000e+04;9.19370000000000000e+04;9.16900000000000000e+04;9.16420000000000000e+04;9.16530000000000000e+04;9.18970000000000000e+04;9.18370000000000000e+04;9.16670000000000000e+04;9.18260000000000000e+04;9.19860000000000000e+04;9.16400000000000000e+04;9.18870000000000000e+04;9.19630000000000000e+04;9.16070000000000000e+04;9.17900000000000000e+04;9.21610000000000000e+04;9.15890000000000000e+04;9.21840000000000000e+04;9.23140000000000000e+04;9.18840000000000000e+04;9.17400000000000000e+04;9.17390000000000000e+04;9.15380000000000000e+04;9.21470000000000000e+04;9.16580000000000000e+04;9.16200000000000000e+04;9.20660000000000000e+04;9.17250000000000000e+04;9.17770000000000000e+04;9.16920000000000000e+04;9.19040000000000000e+04;9.14180000000000000e+04;9.21540000000000000e+04;9.21120000000000000e+04;9.16330000000000000e+04;9.17940000000000000e+04;9.19350000000000000e+04;9.14780000000000000e+04;9.18490000000000000e+04;9.18060000000000000e+04;9.17440000000000000e+04;9.18930000000000000e+04;9.23150000000000000e+04;9.18920000000000000e+04;9.22960000000000000e+04;9.18280000000000000e+04;9.22560000000000000e+04;9.24140000000000000e+04;9.15890000000000000e+04;9.19200000000000000e+04;9.19200000000000000e+04;9.19220000000000000e+04;9.13910000000000000e+04;9.19100000000000000e+04;9.18480000000000000e+04;9.17810000000000000e+04;9.18690000000000000e+04;9.15330000000000000e+04;9.21280000000000000e+04;9.20500000000000000e+04;9.17890000000000000e+04;9.18380000000000000e+04;9.18290000000000000e+04;9.20750000000000000e+04;9.18490000000000000e+04;9.22180000000000000e+04;9.17850000000000000e+04;9.18360000000000000e+04;9.16420000000000000e+04;9.18820000000000000e+04;9.15380000000000000e+04;9.20110000000000000e+04;9.19350000000000000e+04;9.16630000000000000e+04;9.21870000000000000e+04;9.15610000000000000e+04;9.21620000000000000e+04;9.14670000000000000e+04;9.19140000000000000e+04;9.15850000000000000e+04;9.22710000000000000e+04;9.17830000000000000e+04;9.21280000000000000e+04;9.20630000000000000e+04;9.16130000000000000e+04;9.18110000000000000e+04;9.14870000000000000e+04;9.21560000000000000e+04;9.20030000000000000e+04;9.15860000000000000e+04;9.16910000000000000e+04;9.19990000000000000e+04;
m_source (ReduceSum);9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;9.98400000000000000e+03;
m_rr (ReduceSum);0.00000000000000000e+00;4.83100000000000000e+03;2.09000000000000000e+02;1.92700000000000000e+03;1.55400000000000000e+03;1.46800000000000000e+03;1.50700000000000000e+03;1.64700000000000000e+03;1.87400000000000000e+03;1.93100000000000000e+03;1.62000000000000000e+03;1.68900000000000000e+03;1.59700000000000000e+03;1.89500000000000000e+03;1.83500000000000000e+03;1.69400000000000000e+03;1.77700000000000000e+03;1.96700000000000000e+03;1.60500000000000000e+03;1.84800000000000000e+03;1.95100000000000000e+03;1.57700000000000000e+03;1.75500000000000000e+03;2.07400000000000000e+03;1.55500000000000000e+03;2.06900000000000000e+03;2.29000000000000000e+03;1.89300000000000000e+03;1.74200000000000000e+03;1.70400000000000000e+03;1.52100000000000000e+03;2.11100000000000000e+03;1.64100000000000000e+03;1.50700000000000000e+03;2.06200000000000000e+03;1.70400000000000000e+03;1.79200000000000000e+03;1.65400000000000000e+03;1.94500000000000000e+03;1.44000000000000000e+03;2.09100000000000000e+03;2.12200000000000000e+03;1.69800000000000000e+03;1.72400000000000000e+03;1.97600000000000000e+03;1.45200000000000000e+03;1.80200000000000000e+03;1.77400000000000000e+03;1.72800000000000000e+03;1.87200000000000000e+03;2.30500000000000000e+03;1.89300000000000000e+03;2.33000000000000000e+03;1.79700000000000000e+03;2.22500000000000000e+03;2.37500000000000000e+03;1.57000000000000000e+03;1.96500000000000000e+03;1.92800000000000000e+03;1.90200000000000000e+03;1.46400000000000000e+03;1.86500000000000000e+03;1.88800000000000000e+03;1.77100000000000000e+03;1.93200000000000000e+03;1.48700000000000000e+03;2.07800000000000000e+03;1.93800000000000000e+03;1.82900000000000000e+03;1.85500000000000000e+03;1.75700000000000000e+03;2.13500000000000000e+03;1.80400000000000000e+03;2.17100000000000000e+03;1.78100000000000000e+03;1.83900000000000000e+03;1.71200000000000000e+03;1.85500000000000000e+03;1.48900000000000000e+03;1.97700000000000000e+03;1.86000000000000000e+03;1.56500000000000000e+03;2.15800000000000000e+03;1.55000000000000000e+03;2.28000000000000000e+03;1.47800000000000000e+03;1.86100000000000000e+03;1.61200000000000000e+03;2.23000000000000000e+03;1.77900000000000000e+03;2.14600000000000000e+03;2.02000000000000000e+03;1.53800000000000000e+03;1.78400000000000000e+03;1.38500000000000000e+03;2.16800000000000000e+03;1.94900000000000000e+03;1.58600000000000000e+03;1.68600000000000000e+03;1.96900000000000000e+03;
m_split (ReduceSum);8.99990000000000000e+04;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
m_absorb (ReduceSum);2.03120000000000000e+04;3.61100000000000000e+04;3.38740000000000000e+04;3.35600000000000000e+04;3.34810000000000000e+04;3.31130000000000000e+04;3.30070000000000000e+04;3.27770000000000000e+04;3.27490000000000000e+04;3.30670000000000000e+04;3.29130000000000000e+04;3.26370000000000000e+04;3.26610000000000000e+04;3.26720000000000000e+04;3.25010000000000000e+04;3.25700000000000000e+04;3.25730000000000000e+04;3.28530000000000000e+04;3.24540000000000000e+04;3.25550000000000000e+04;3.23670000000000000e+04;3.23970000000000000e+04;3.21480000000000000e+04;3.27200000000000000e+04;3.25520000000000000e+04;3.25960000000000000e+04;3.25580000000000000e+04;3.26360000000000000e+04;3.24160000000000000e+04;3.27060000000000000e+04;3.23380000000000000e+04;3.25120000000000000e+04;3.27480000000000000e+04;3.27120000000000000e+04;3.26190000000000000e+04;3.24900000000000000e+04;3.24470000000000000e+04;3.26030000000000000e+04;3.25060000000000000e+04;3.25450000000000000e+04;3.23590000000000000e+04;3.27920000000000000e+04;3.26200000000000000e+04;3.25230000000000000e+04;3.28470000000000000e+04;3.24760000000000000e+04;3.26330000000000000e+04;3.25330000000000000e+04;3.25670000000000000e+04;3.25160000000000000e+04;3.25010000000000000e+04;3.23060000000000000e+04;3.25680000000000000e+04;3.22280000000000000e+04;3.22020000000000000e+04;3.26190000000000000e+04;3.24840000000000000e+04;3.25960000000000000e+04;3.26140000000000000e+04;3.26550000000000000e+04;3.23190000000000000e+04;3.26200000000000000e+04;3.27390000000000000e+04;3.26190000000000000e+04;3.27070000000000000e+04;3.25220000000000000e+04;3.24530000000000000e+04;3.27350000000000000e+04;3.26000000000000000e+04;3.25470000000000000e+04;3.24650000000000000e+04;3.27700000000000000e+04;3.24970000000000000e+04;3.28780000000000000e+04;3.25210000000000000e+04;3.26080000000000000e+04;3.25150000000000000e+04;3.28060000000000000e+04;3.26050000000000000e+04;3.23510000000000000e+04;3.26410000000000000e+04;3.22470000000000000e+04;3.26530000000000000e+04;3.22880000000000000e+04;3.25690000000000000e+04;3.26250000000000000e+04;3.24920000000000000e+04;3.21730000000000000e+04;3.26310000000000000e+04;3.22440000000000000e+04;3.25420000000000000e+04;3.23460000000000000e+04;3.25050000000000000e+04;3.27580000000000000e+04;3.25280000000000000e+04;3.24610000000000000e+04;3.26360000000000000e+04;3.27800000000000000e+04;3.26710000000000000e+04;3.26660000000000000e+04;
m_scatter (ReduceSum);5.09005000000000000e+05;8.89113000000000000e+05;8.55358000000000000e+05;8.39027000000000000e+05;8.30720000000000000e+05;8.26695000000000000e+05;8.23927000000000000e+05;8.23270000000000000e+05;8.22470000000000000e+05;8.19569000000000000e+05;8.19493000000000000e+05;8.15528000000000000e+05;8.17784000000000000e+05;8.16832000000000000e+05;8.12967000000000000e+05;8.15776000000000000e+05;8.15487000000000000e+05;8.16033000000000000e+05;8.16439000000000000e+05;8.15094000000000000e+05;8.13372000000000000e+05;8.11238000000000000e+05;8.14044000000000000e+05;8.14087000000000000e+05;8.16937000000000000e+05;8.19007000000000000e+05;8.14965000000000000e+05;8.14243000000000000e+05;8.11602000000000000e+05;8.13059000000000000e+05;8.15335000000000000e+05;8.12498000000000000e+05;8.13188000000000000e+05;8.16927000000000000e+05;8.12548000000000000e+05;8.12809000000000000e+05;8.10149000000000000e+05;8.13936000000000000e+05;8.10848000000000000e+05;8.15064000000000000e+05;8.15608000000000000e+05;8.15452000000000000e+05;8.13298000000000000e+05;8.15237000000000000e+05;8.10257000000000000e+05;8.14289000000000000e+05;8.11290000000000000e+05;8.12107000000000000e+05;8.13936000000000000e+05;8.15760000000000000e+05;8.10770000000000000e+05;8.14861000000000000e+05;8.13873000000000000e+05;8.13539000000000000e+05;8.13907000000000000e+05;8.13415000000000000e+05;8.13730000000000000e+05;8.15408000000000000e+05;8.14953000000000000e+05;8.11382000000000000e+05;8.12034000000000000e+05;8.12568000000000000e+05;8.13414000000000000e+05;8.13087000000000000e+05;8.10096000000000000e+05;8.16168000000000000e+05;8.15965000000000000e+05;8.15760000000000000e+05;8.13378000000000000e+05;8.12039000000000000e+05;8.16009000000000000e+05;8.15085000000000000e+05;8.17189000000000000e+05;8.17399000000000000e+05;8.12567000000000000e+05;8.12610000000000000e+05;8.12522000000000000e+05;8.12125000000000000e+05;8.14075000000000000e+05;8.11732000000000000e+05;8.09905000000000000e+05;8.15095000000000000e+05;8.12533000000000000e+05;8.13792000000000000e+05;8.10393000000000000e+05;8.13895000000000000e+05;8.11114000000000000e+05;8.14059000000000000e+05;8.12179000000000000e+05;8.11665000000000000e+05;8.14734000000000000e+05;8.10832000000000000e+05;8.11808000000000000e+05;8.13018000000000000e+05;8.14469000000000000e+05;8.12885000000000000e+05;8.12453000000000000e+05;8.13130000000000000e+05;8.13891000000000000e+05;8.14865000000000000e+05;
m_fission (ReduceSum);2.54380000000000000e+04;4.39960000000000000e+04;4.28370000000000000e+04;4.22730000000000000e+04;4.14690000000000000e+04;4.11650000000000000e+04;4.12220000000000000e+04;4.13570000000000000e+04;4.10260000000000000e+04;4.11310000000000000e+04;4.10330000000000000e+04;4.05970000000000000e+04;4.11920000000000000e+04;4.09190000000000000e+04;4.05160000000000000e+04;4.08090000000000000e+04;4.10070000000000000e+04;4.08830000000000000e+04;4.05020000000000000e+04;4.07840000000000000e+04;4.02470000000000000e+04;4.02300000000000000e+04;4.05930000000000000e+04;4.02790000000000000e+04;4.10110000000000000e+04;4.12600000000000000e+04;4.05070000000000000e+04;4.04740000000000000e+04;4.04480000000000000e+04;4.05720000000000000e+04;4.07910000000000000e+04;4.05610000000000000e+04;4.07780000000000000e+04;4.08940000000000000e+04;4.05690000000000000e+04;4.04870000000000000e+04;4.02880000000000000e+04;4.10600000000000000e+04;4.01950000000000000e+04;4.11580000000000000e+04;4.08950000000000000e+04;4.08950000000000000e+04;4.07430000000000000e+04;4.05880000000000000e+04;4.04030000000000000e+04;4.02410000000000000e+04;4.08520000000000000e+04;4.05820000000000000e+04;4.07380000000000000e+04;4.12180000000000000e+04;4.05360000000000000e+04;4.08730000000000000e+04;4.04910000000000000e+04;4.06870000000000000e+04;4.08750000000000000e+04;4.05860000000000000e+04;4.09120000000000000e+04;4.09200000000000000e+04;4.08840000000000000e+04;4.01370000000000000e+04;4.05590000000000000e+04;4.05650000000000000e+04;4.10080000000000000e+04;4.08580000000000000e+04;4.06830000000000000e+04;4.09440000000000000e+04;4.07410000000000000e+04;4.08560000000000000e+04;4.08180000000000000e+04;4.07790000000000000e+04;4.06610000000000000e+04;4.08410000000000000e+04;4.10640000000000000e+04;4.10780000000000000e+04;4.05170000000000000e+04;4.02720000000000000e+04;4.07390000000000000e+04;4.06900000000000000e+04;4.08630000000000000e+04;4.07780000000000000e+04;4.03770000000000000e+04;4.06540000000000000e+04;4.05310000000000000e+04;4.07470000000000000e+04;4.06620000000000000e+04;4.09550000000000000e+04;4.03890000000000000e+04;4.09940000000000000e+04;4.08320000000000000e+04;4.05490000000000000e+04;4.10340000000000000e+04;3.99950000000000000e+04;4.03470000000000000e+04;4.04910000000000000e+04;4.05400000000000000e+04;4.07930000000000000e+04;4.03920000000000000e+04;4.06600000000000000e+04;4.10890000000000000e+04;4.06810000000000000e+04;
m_produce (ReduceSum);4.06550000000000000e+04;7.03070000000000000e+04;6.85970000000000000e+04;6.74600000000000000e+04;6.64130000000000000e+04;6.58110000000000000e+04;6.58590000000000000e+04;6.61070000000000000e+04;6.56560000000000000e+04;6.58980000000000000e+04;6.55340000000000000e+04;6.49500000000000000e+04;6.57100000000000000e+04;6.54420000000000000e+04;6.46980000000000000e+04;6.52480000000000000e+04;6.55330000000000000e+04;6.53730000000000000e+04;6.48240000000000000e+04;6.52790000000000000e+04;6.42250000000000000e+04;6.44030000000000000e+04;6.48830000000000000e+04;6.45170000000000000e+04;6.57290000000000000e+04;6.60710000000000000e+04;6.49410000000000000e+04;6.48750000000000000e+04;6.46210000000000000e+04;6.47970000000000000e+04;6.52750000000000000e+04;6.47110000000000000e+04;6.51450000000000000e+04;6.55750000000000000e+04;6.49250000000000000e+04;6.47490000000000000e+04;6.44580000000000000e+04;6.55450000000000000e+04;6.41760000000000000e+04;6.58950000000000000e+04;6.53190000000000000e+04;6.53460000000000000e+04;6.52380000000000000e+04;6.49920000000000000e+04;6.47850000000000000e+04;6.45560000000000000e+04;6.52600000000000000e+04;6.48430000000000000e+04;6.51980000000000000e+04;6.60440000000000000e+04;6.49350000000000000e+04;6.54920000000000000e+04;6.49370000000000000e+04;6.51560000000000000e+04;6.54760000000000000e+04;6.47710000000000000e+04;6.53130000000000000e+04;6.54970000000000000e+04;6.54440000000000000e+04;6.41790000000000000e+04;6.48770000000000000e+04;6.50040000000000000e+04;6.55840000000000000e+04;6.53520000000000000e+04;6.50020000000000000e+04;6.55640000000000000e+04;6.52100000000000000e+04;6.52840000000000000e+04;6.53120000000000000e+04;6.51880000000000000e+04;6.51450000000000000e+04;6.55360000000000000e+04;6.57500000000000000e+04;6.57100000000000000e+04;6.48860000000000000e+04;6.45410000000000000e+04;6.52220000000000000e+04;6.50230000000000000e+04;6.54460000000000000e+04;6.50460000000000000e+04;6.46220000000000000e+04;6.50060000000000000e+04;6.47320000000000000e+04;6.52020000000000000e+04;6.48320000000000000e+04;6.55210000000000000e+04;6.44290000000000000e+04;6.54810000000000000e+04;6.52210000000000000e+04;6.49330000000000000e+04;6.56730000000000000e+04;6.39270000000000000e+04;6.46040000000000000e+04;6.47250000000000000e+04;6.51380000000000000e+04;6.52850000000000000e+04;6.45760000000000000e+04;6.51470000000000000e+04;6.57700000000000000e+04;6.50080000000000000e+04;
m_collision (ReduceSum);5.54755000000000000e+05;9.69219000000000000e+05;9.32069000000000000e+05;9.14860000000000000e+05;9.05670000000000000e+05;9.00973000000000000e+05;8.98156000000000000e+05;8.97404000000000000e+05;8.96245000000000000e+05;8.93767000000000000e+05;8.93439000000000000e+05;8.88762000000000000e+05;8.91637000000000000e+05;8.90423000000000000e+05;8.85984000000000000e+05;8.89155000000000000e+05;8.89067000000000000e+05;8.89769000000000000e+05;8.89395000000000000e+05;8.88433000000000000e+05;8.85986000000000000e+05;8.83865000000000000e+05;8.86785000000000000e+05;8.87086000000000000e+05;8.90500000000000000e+05;8.92863000000000000e+05;8.88030000000000000e+05;8.87353000000000000e+05;8.84466000000000000e+05;8.86337000000000000e+05;8.88464000000000000e+05;8.85571000000000000e+05;8.86714000000000000e+05;8.90533000000000000e+05;8.85736000000000000e+05;8.85786000000000000e+05;8.82884000000000000e+05;8.87599000000000000e+05;8.83549000000000000e+05;8.88767000000000000e+05;8.88862000000000000e+05;8.89139000000000000e+05;8.86661000000000000e+05;8.88348000000000000e+05;8.83507000000000000e+05;8.87006000000000000e+05;8.84775000000000000e+05;8.85222000000000000e+05;8.87241000000000000e+05;8.89494000000000000e+05;8.83807000000000000e+05;8.88040000000000000e+05;8.86932000000000000e+05;8.86454000000000000e+05;8.86984000000000000e+05;8.86620000000000000e+05;8.87126000000000000e+05;8.88924000000000000e+05;8.88451000000000000e+05;8.84174000000000000e+05;8.84912000000000000e+05;8.85753000000000000e+05;8.87161000000000000e+05;8.86564000000000000e+05;8.83486000000000000e+05;8.89634000000000000e+05;8.89159000000000000e+05;8.89351000000000000e+05;8.86796000000000000e+05;8.85365000000000000e+05;8.89135000000000000e+05;8.88696000000000000e+05;8.90750000000000000e+05;8.91355000000000000e+05;8.85605000000000000e+05;8.85490000000000000e+05;8.85776000000000000e+05;8.85621000000000000e+05;8.87543000000000000e+05;8.84861000000000000e+05;8.82923000000000000e+05;8.87996000000000000e+05;8.85717000000000000e+05;8.86827000000000000e+05;8.83624000000000000e+05;8.87475000000000000e+05;8.83995000000000000e+05;8.87226000000000000e+05;8.85642000000000000e+05;8.84458000000000000e+05;8.88310000000000000e+05;8.83173000000000000e+05;8.84660000000000000e+05;8.86267000000000000e+05;8.87537000000000000e+05;8.86139000000000000e+05;8.85481000000000000e+05;8.86570000000000000e+05;8.87651000000000000e+05;8.88212000000000000e+05;
m_escape (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
