Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Iteration 39;Iteration 40;Iteration 41;Iteration 42;Iteration 43;Iteration 44;Iteration 45;Iteration 46;Iteration 47;Iteration 48;Iteration 49;Iteration 50;Iteration 51;Iteration 52;Iteration 53;Iteration 54;Iteration 55;Iteration 56;Iteration 57;Iteration 58;Iteration 59;Iteration 60;Iteration 61;Iteration 62;Iteration 63;Iteration 64;Iteration 65;Iteration 66;Iteration 67;Iteration 68;Iteration 69;Iteration 70;Iteration 71;Iteration 72;Iteration 73;Iteration 74;Iteration 75;Iteration 76;Iteration 77;Iteration 78;Iteration 79;Iteration 80;Iteration 81;Iteration 82;Iteration 83;Iteration 84;Iteration 85;Iteration 86;Iteration 87;Iteration 88;Iteration 89;Iteration 90;Iteration 91;Iteration 92;Iteration 93;Iteration 94;Iteration 95;Iteration 96;Iteration 97;Iteration 98;Iteration 99;Iteration 100;
m_start (ReduceSum);0.00000000000000000e+00;1.30319100000000000e+06;5.19689000000000000e+05;7.69381000000000000e+05;6.64233000000000000e+05;6.95974000000000000e+05;6.88982000000000000e+05;6.89926000000000000e+05;6.88137000000000000e+05;6.87278000000000000e+05;6.87595000000000000e+05;6.91684000000000000e+05;6.89520000000000000e+05;6.87979000000000000e+05;6.87484000000000000e+05;6.92638000000000000e+05;6.88169000000000000e+05;6.87971000000000000e+05;6.90318000000000000e+05;6.90664000000000000e+05;6.92526000000000000e+05;6.88855000000000000e+05;6.90713000000000000e+05;6.90601000000000000e+05;6.89268000000000000e+05;6.91575000000000000e+05;6.88829000000000000e+05;6.91111000000000000e+05;6.89862000000000000e+05;6.86220000000000000e+05;6.89120000000000000e+05;6.89440000000000000e+05;6.89346000000000000e+05;6.88337000000000000e+05;6.93176000000000000e+05;6.83761000000000000e+05;6.90099000000000000e+05;6.89725000000000000e+05;6.89562000000000000e+05;6.88385000000000000e+05;6.89224000000000000e+05;6.93524000000000000e+05;6.89599000000000000e+05;6.89402000000000000e+05;6.93189000000000000e+05;6.87875000000000000e+05;6.91825000000000000e+05;6.93246000000000000e+05;6.87405000000000000e+05;6.90840000000000000e+05;6.90953000000000000e+05;6.93281000000000000e+05;6.87977000000000000e+05;6.90111000000000000e+05;6.92144000000000000e+05;6.90765000000000000e+05;6.85932000000000000e+05;6.88705000000000000e+05;6.89284000000000000e+05;6.89258000000000000e+05;6.88712000000000000e+05;6.89283000000000000e+05;6.92859000000000000e+05;6.88865000000000000e+05;6.86281000000000000e+05;6.90068000000000000e+05;6.90469000000000000e+05;6.88251000000000000e+05;6.90533000000000000e+05;6.89332000000000000e+05;6.87861000000000000e+05;6.88427000000000000e+05;6.91131000000000000e+05;6.87954000000000000e+05;6.90393000000000000e+05;6.90640000000000000e+05;6.89499000000000000e+05;6.88313000000000000e+05;6.90927000000000000e+05;6.89723000000000000e+05;6.90547000000000000e+05;6.91067000000000000e+05;6.88020000000000000e+05;6.88889000000000000e+05;6.88275000000000000e+05;6.89911000000000000e+05;6.90271000000000000e+05;6.90290000000000000e+05;6.89540000000000000e+05;6.87831000000000000e+05;6.90569000000000000e+05;6.89128000000000000e+05;6.89310000000000000e+05;6.90452000000000000e+05;6.93818000000000000e+05;6.84292000000000000e+05;6.91523000000000000e+05;6.90312000000000000e+05;6.87026000000000000e+05;6.89837000000000000e+05;
m_source (ReduceSum);5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;5.24288000000000000e+05;
m_rr (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;6.29280000000000000e+04;2.58210000000000000e+04;3.85640000000000000e+04;3.47280000000000000e+04;3.60530000000000000e+04;3.43070000000000000e+04;3.50550000000000000e+04;3.51910000000000000e+04;3.44560000000000000e+04;3.67200000000000000e+04;3.42620000000000000e+04;3.48360000000000000e+04;3.42930000000000000e+04;3.36380000000000000e+04;3.41080000000000000e+04;3.54000000000000000e+04;3.60890000000000000e+04;3.57050000000000000e+04;3.38860000000000000e+04;3.51590000000000000e+04;3.47470000000000000e+04;3.47720000000000000e+04;3.44440000000000000e+04;3.54030000000000000e+04;3.62320000000000000e+04;3.37210000000000000e+04;3.44900000000000000e+04;3.50200000000000000e+04;3.38440000000000000e+04;3.35750000000000000e+04;3.49260000000000000e+04;3.65400000000000000e+04;3.55850000000000000e+04;3.54310000000000000e+04;3.58900000000000000e+04;3.50870000000000000e+04;3.69980000000000000e+04;3.30950000000000000e+04;3.43000000000000000e+04;3.50550000000000000e+04;3.43880000000000000e+04;3.53310000000000000e+04;3.33770000000000000e+04;3.60450000000000000e+04;3.55630000000000000e+04;3.39830000000000000e+04;3.46910000000000000e+04;3.65730000000000000e+04;3.60340000000000000e+04;3.51910000000000000e+04;3.50480000000000000e+04;3.51320000000000000e+04;3.56160000000000000e+04;3.49690000000000000e+04;3.51910000000000000e+04;3.56490000000000000e+04;3.43680000000000000e+04;3.50350000000000000e+04;3.52090000000000000e+04;3.48510000000000000e+04;3.74440000000000000e+04;3.61770000000000000e+04;3.50250000000000000e+04;3.65220000000000000e+04;3.51530000000000000e+04;3.51580000000000000e+04;3.39670000000000000e+04;3.62880000000000000e+04;3.63110000000000000e+04;3.47310000000000000e+04;3.40100000000000000e+04;3.57810000000000000e+04;3.66870000000000000e+04;3.47440000000000000e+04;3.53450000000000000e+04;3.50790000000000000e+04;3.36750000000000000e+04;3.54950000000000000e+04;3.38140000000000000e+04;3.55820000000000000e+04;3.48590000000000000e+04;3.49270000000000000e+04;3.60340000000000000e+04;3.46940000000000000e+04;3.60320000000000000e+04;3.66320000000000000e+04;3.34610000000000000e+04;3.40900000000000000e+04;3.42060000000000000e+04;3.60520000000000000e+04;3.56680000000000000e+04;3.26070000000000000e+04;3.53180000000000000e+04;3.63380000000000000e+04;3.54630000000000000e+04;3.44950000000000000e+04;
m_split (ReduceSum);4.71859200000000000e+06;3.41488600000000000e+06;4.19903700000000000e+06;3.94938700000000000e+06;4.05418900000000000e+06;4.02218100000000000e+06;4.02941400000000000e+06;4.02927900000000000e+06;4.02991400000000000e+06;4.03095400000000000e+06;4.03135600000000000e+06;4.02703100000000000e+06;4.02887000000000000e+06;4.03130000000000000e+06;4.03078100000000000e+06;4.02534100000000000e+06;4.03052600000000000e+06;4.03059100000000000e+06;4.02753200000000000e+06;4.02830200000000000e+06;4.02596600000000000e+06;4.02940100000000000e+06;4.02752500000000000e+06;4.02768200000000000e+06;4.02950700000000000e+06;4.02751300000000000e+06;4.02991600000000000e+06;4.02746700000000000e+06;4.02816100000000000e+06;4.03255400000000000e+06;4.02949400000000000e+06;4.02903700000000000e+06;4.02932100000000000e+06;4.03003000000000000e+06;4.02504800000000000e+06;4.03411600000000000e+06;4.02857100000000000e+06;4.02904900000000000e+06;4.02836900000000000e+06;4.02996400000000000e+06;4.02957600000000000e+06;4.02527300000000000e+06;4.02904900000000000e+06;4.02844100000000000e+06;4.02551100000000000e+06;4.03100900000000000e+06;4.02557900000000000e+06;4.02592200000000000e+06;4.03210900000000000e+06;4.02722400000000000e+06;4.02766500000000000e+06;4.02522900000000000e+06;4.03045800000000000e+06;4.02854700000000000e+06;4.02674600000000000e+06;4.02803500000000000e+06;4.03300900000000000e+06;4.03019100000000000e+06;4.02959900000000000e+06;4.02910700000000000e+06;4.03075600000000000e+06;4.02983100000000000e+06;4.02543200000000000e+06;4.02931400000000000e+06;4.03219900000000000e+06;4.02867300000000000e+06;4.02795800000000000e+06;4.03028100000000000e+06;4.02773600000000000e+06;4.02968500000000000e+06;4.03014900000000000e+06;4.03058300000000000e+06;4.02839800000000000e+06;4.03042000000000000e+06;4.02910000000000000e+06;4.02823500000000000e+06;4.02889700000000000e+06;4.02953100000000000e+06;4.02758400000000000e+06;4.02962200000000000e+06;4.02671700000000000e+06;4.02855700000000000e+06;4.03009000000000000e+06;4.03045900000000000e+06;4.03066200000000000e+06;4.02865600000000000e+06;4.02881600000000000e+06;4.02964500000000000e+06;4.02894300000000000e+06;4.03078200000000000e+06;4.02771900000000000e+06;4.02916900000000000e+06;4.02923500000000000e+06;4.02817400000000000e+06;4.02442600000000000e+06;4.03406300000000000e+06;4.02740200000000000e+06;4.02787500000000000e+06;4.03147800000000000e+06;4.02847200000000000e+06;
m_absorb (ReduceSum);1.96842920000000000e+07;2.36326110000000000e+07;2.23738070000000000e+07;2.28964770000000000e+07;2.23875700000000000e+07;2.26119290000000000e+07;2.25515530000000000e+07;2.26171880000000000e+07;2.25899940000000000e+07;2.26376090000000000e+07;2.25827520000000000e+07;2.26050580000000000e+07;2.26346620000000000e+07;2.25834080000000000e+07;2.26297130000000000e+07;2.25290000000000000e+07;2.25668670000000000e+07;2.26012780000000000e+07;2.25878090000000000e+07;2.25771730000000000e+07;2.26094950000000000e+07;2.25928650000000000e+07;2.26394900000000000e+07;2.26126930000000000e+07;2.25847930000000000e+07;2.25844610000000000e+07;2.25736140000000000e+07;2.25903950000000000e+07;2.25235110000000000e+07;2.25486590000000000e+07;2.26115470000000000e+07;2.26428040000000000e+07;2.25610880000000000e+07;2.26076980000000000e+07;2.26062350000000000e+07;2.25553470000000000e+07;2.26140400000000000e+07;2.24927130000000000e+07;2.25771660000000000e+07;2.25401480000000000e+07;2.26087590000000000e+07;2.26186400000000000e+07;2.26102910000000000e+07;2.25651960000000000e+07;2.26232300000000000e+07;2.26008750000000000e+07;2.26108860000000000e+07;2.25924770000000000e+07;2.25633170000000000e+07;2.26293010000000000e+07;2.26035060000000000e+07;2.25982870000000000e+07;2.25770960000000000e+07;2.25899300000000000e+07;2.25535730000000000e+07;2.25993630000000000e+07;2.25900640000000000e+07;2.25785460000000000e+07;2.25680780000000000e+07;2.25854710000000000e+07;2.25858790000000000e+07;2.25934880000000000e+07;2.26307730000000000e+07;2.25539880000000000e+07;2.25646270000000000e+07;2.25535290000000000e+07;2.25980960000000000e+07;2.25626000000000000e+07;2.25922230000000000e+07;2.25925340000000000e+07;2.25936540000000000e+07;2.25970690000000000e+07;2.25745480000000000e+07;2.25970040000000000e+07;2.26210370000000000e+07;2.25776380000000000e+07;2.25800710000000000e+07;2.26022260000000000e+07;2.25938480000000000e+07;2.25951090000000000e+07;2.26229840000000000e+07;2.25986640000000000e+07;2.25851740000000000e+07;2.25847330000000000e+07;2.25836370000000000e+07;2.26030430000000000e+07;2.26390330000000000e+07;2.25861450000000000e+07;2.25737920000000000e+07;2.25650460000000000e+07;2.25960350000000000e+07;2.26135170000000000e+07;2.25533990000000000e+07;2.26107660000000000e+07;2.25966030000000000e+07;2.25649740000000000e+07;2.26625810000000000e+07;2.26420760000000000e+07;2.26022450000000000e+07;2.25908660000000000e+07;
m_scatter (ReduceSum);1.79048436000000000e+08;2.06527208000000000e+08;1.97327123000000000e+08;2.01029275000000000e+08;1.96935503000000000e+08;1.98720956000000000e+08;1.98216115000000000e+08;1.98892086000000000e+08;1.98647078000000000e+08;1.99014798000000000e+08;1.98621116000000000e+08;1.98730347000000000e+08;1.99052033000000000e+08;1.98550668000000000e+08;1.99037716000000000e+08;1.98039164000000000e+08;1.98364387000000000e+08;1.98717309000000000e+08;1.98611330000000000e+08;1.98505254000000000e+08;1.98774459000000000e+08;1.98673732000000000e+08;1.99102185000000000e+08;1.98815942000000000e+08;1.98587424000000000e+08;1.98562693000000000e+08;1.98428029000000000e+08;1.98556972000000000e+08;1.97913128000000000e+08;1.98210952000000000e+08;1.98865185000000000e+08;1.99093752000000000e+08;1.98363776000000000e+08;1.98774971000000000e+08;1.98697074000000000e+08;1.98273543000000000e+08;1.98901804000000000e+08;1.97682792000000000e+08;1.98486050000000000e+08;1.98110865000000000e+08;1.98848340000000000e+08;1.98896193000000000e+08;1.98787905000000000e+08;1.98371707000000000e+08;1.98974177000000000e+08;1.98755019000000000e+08;1.98853523000000000e+08;1.98609681000000000e+08;1.98330166000000000e+08;1.98990086000000000e+08;1.98791582000000000e+08;1.98727454000000000e+08;1.98491225000000000e+08;1.98658940000000000e+08;1.98264936000000000e+08;1.98712106000000000e+08;1.98620658000000000e+08;1.98493432000000000e+08;1.98382571000000000e+08;1.98546037000000000e+08;1.98594081000000000e+08;1.98692879000000000e+08;1.99022047000000000e+08;1.98214683000000000e+08;1.98417529000000000e+08;1.98281313000000000e+08;1.98684365000000000e+08;1.98347367000000000e+08;1.98634396000000000e+08;1.98651668000000000e+08;1.98699291000000000e+08;1.98693527000000000e+08;1.98427085000000000e+08;1.98696878000000000e+08;1.98960932000000000e+08;1.98511149000000000e+08;1.98538972000000000e+08;1.98777291000000000e+08;1.98708484000000000e+08;1.98671188000000000e+08;1.98930015000000000e+08;1.98657007000000000e+08;1.98599944000000000e+08;1.98586663000000000e+08;1.98595442000000000e+08;1.98776072000000000e+08;1.99103548000000000e+08;1.98544861000000000e+08;1.98453750000000000e+08;1.98416221000000000e+08;1.98710932000000000e+08;1.98823897000000000e+08;1.98289968000000000e+08;1.98842489000000000e+08;1.98608511000000000e+08;1.98424281000000000e+08;1.99341350000000000e+08;1.99145018000000000e+08;1.98776925000000000e+08;1.98605613000000000e+08;
m_fission (ReduceSum);1.57446030000000000e+07;1.89099350000000000e+07;1.79001740000000000e+07;1.83176540000000000e+07;1.79037620000000000e+07;1.80842890000000000e+07;1.80373590000000000e+07;1.80965600000000000e+07;1.80709860000000000e+07;1.81169910000000000e+07;1.80662520000000000e+07;1.80867660000000000e+07;1.81144190000000000e+07;1.80640450000000000e+07;1.81140600000000000e+07;1.80097380000000000e+07;1.80461480000000000e+07;1.80823840000000000e+07;1.80704430000000000e+07;1.80618450000000000e+07;1.80916590000000000e+07;1.80767390000000000e+07;1.81214510000000000e+07;1.80945490000000000e+07;1.80680520000000000e+07;1.80646860000000000e+07;1.80561360000000000e+07;1.80727940000000000e+07;1.80036520000000000e+07;1.80284380000000000e+07;1.80925750000000000e+07;1.81244050000000000e+07;1.80403140000000000e+07;1.80917940000000000e+07;1.80824100000000000e+07;1.80398210000000000e+07;1.80963920000000000e+07;1.79746440000000000e+07;1.80592220000000000e+07;1.80218220000000000e+07;1.80961930000000000e+07;1.80982490000000000e+07;1.80910570000000000e+07;1.80513090000000000e+07;1.81025050000000000e+07;1.80848590000000000e+07;1.80958170000000000e+07;1.80724710000000000e+07;1.80459180000000000e+07;1.81118850000000000e+07;1.80885720000000000e+07;1.80800390000000000e+07;1.80605180000000000e+07;1.80743190000000000e+07;1.80362080000000000e+07;1.80773390000000000e+07;1.80711560000000000e+07;1.80596150000000000e+07;1.80493560000000000e+07;1.80671790000000000e+07;1.80657740000000000e+07;1.80779800000000000e+07;1.81122680000000000e+07;1.80326530000000000e+07;1.80493710000000000e+07;1.80371460000000000e+07;1.80786570000000000e+07;1.80468350000000000e+07;1.80741510000000000e+07;1.80722480000000000e+07;1.80737500000000000e+07;1.80811900000000000e+07;1.80549960000000000e+07;1.80794660000000000e+07;1.81019060000000000e+07;1.80597550000000000e+07;1.80623870000000000e+07;1.80857650000000000e+07;1.80761170000000000e+07;1.80771020000000000e+07;1.81061740000000000e+07;1.80782670000000000e+07;1.80654790000000000e+07;1.80649540000000000e+07;1.80651820000000000e+07;1.80853860000000000e+07;1.81219820000000000e+07;1.80661560000000000e+07;1.80548840000000000e+07;1.80493460000000000e+07;1.80760480000000000e+07;1.80943320000000000e+07;1.80352240000000000e+07;1.80977220000000000e+07;1.80740310000000000e+07;1.80464610000000000e+07;1.81449980000000000e+07;1.81229650000000000e+07;1.80847530000000000e+07;1.80729200000000000e+07;
m_produce (ReduceSum);3.14892060000000000e+07;3.78198700000000000e+07;3.58003480000000000e+07;3.66353080000000000e+07;3.58075240000000000e+07;3.61685780000000000e+07;3.60747180000000000e+07;3.61931200000000000e+07;3.61419720000000000e+07;3.62339820000000000e+07;3.61325040000000000e+07;3.61735320000000000e+07;3.62288380000000000e+07;3.61280900000000000e+07;3.62281200000000000e+07;3.60194760000000000e+07;3.60922960000000000e+07;3.61647680000000000e+07;3.61408860000000000e+07;3.61236900000000000e+07;3.61833180000000000e+07;3.61534780000000000e+07;3.62429020000000000e+07;3.61890980000000000e+07;3.61361040000000000e+07;3.61293720000000000e+07;3.61122720000000000e+07;3.61455880000000000e+07;3.60073040000000000e+07;3.60568760000000000e+07;3.61851500000000000e+07;3.62488100000000000e+07;3.60806280000000000e+07;3.61835880000000000e+07;3.61648200000000000e+07;3.60796420000000000e+07;3.61927840000000000e+07;3.59492880000000000e+07;3.61184440000000000e+07;3.60436440000000000e+07;3.61923860000000000e+07;3.61964980000000000e+07;3.61821140000000000e+07;3.61026180000000000e+07;3.62050100000000000e+07;3.61697180000000000e+07;3.61916340000000000e+07;3.61449420000000000e+07;3.60918360000000000e+07;3.62237700000000000e+07;3.61771440000000000e+07;3.61600780000000000e+07;3.61210360000000000e+07;3.61486380000000000e+07;3.60724160000000000e+07;3.61546780000000000e+07;3.61423120000000000e+07;3.61192300000000000e+07;3.60987120000000000e+07;3.61343580000000000e+07;3.61315480000000000e+07;3.61559600000000000e+07;3.62245360000000000e+07;3.60653060000000000e+07;3.60987420000000000e+07;3.60742920000000000e+07;3.61573140000000000e+07;3.60936700000000000e+07;3.61483020000000000e+07;3.61444960000000000e+07;3.61475000000000000e+07;3.61623800000000000e+07;3.61099920000000000e+07;3.61589320000000000e+07;3.62038120000000000e+07;3.61195100000000000e+07;3.61247740000000000e+07;3.61715300000000000e+07;3.61522340000000000e+07;3.61542040000000000e+07;3.62123480000000000e+07;3.61565340000000000e+07;3.61309580000000000e+07;3.61299080000000000e+07;3.61303640000000000e+07;3.61707720000000000e+07;3.62439640000000000e+07;3.61323120000000000e+07;3.61097680000000000e+07;3.60986920000000000e+07;3.61520960000000000e+07;3.61886640000000000e+07;3.60704480000000000e+07;3.61954440000000000e+07;3.61480620000000000e+07;3.60929220000000000e+07;3.62899960000000000e+07;3.62459300000000000e+07;3.61695060000000000e+07;3.61458400000000000e+07;
m_collision (ReduceSum);2.14477331000000000e+08;2.49069754000000000e+08;2.37601104000000000e+08;2.42243406000000000e+08;2.37226835000000000e+08;2.39417174000000000e+08;2.38805027000000000e+08;2.39605834000000000e+08;2.39308058000000000e+08;2.39769398000000000e+08;2.39270120000000000e+08;2.39422171000000000e+08;2.39801114000000000e+08;2.39198121000000000e+08;2.39781489000000000e+08;2.38577902000000000e+08;2.38977402000000000e+08;2.39400971000000000e+08;2.39269582000000000e+08;2.39144272000000000e+08;2.39475613000000000e+08;2.39343336000000000e+08;2.39863126000000000e+08;2.39523184000000000e+08;2.39240269000000000e+08;2.39211840000000000e+08;2.39057779000000000e+08;2.39220161000000000e+08;2.38440291000000000e+08;2.38788049000000000e+08;2.39569307000000000e+08;2.39860961000000000e+08;2.38965178000000000e+08;2.39474463000000000e+08;2.39385719000000000e+08;2.38868711000000000e+08;2.39612236000000000e+08;2.38150149000000000e+08;2.39122438000000000e+08;2.38672835000000000e+08;2.39553292000000000e+08;2.39613082000000000e+08;2.39489253000000000e+08;2.38988212000000000e+08;2.39699912000000000e+08;2.39440753000000000e+08;2.39560226000000000e+08;2.39274629000000000e+08;2.38939401000000000e+08;2.39731272000000000e+08;2.39483660000000000e+08;2.39405780000000000e+08;2.39128839000000000e+08;2.39323189000000000e+08;2.38854717000000000e+08;2.39388808000000000e+08;2.39281878000000000e+08;2.39131593000000000e+08;2.39000005000000000e+08;2.39198687000000000e+08;2.39245734000000000e+08;2.39364347000000000e+08;2.39765088000000000e+08;2.38801324000000000e+08;2.39031527000000000e+08;2.38871988000000000e+08;2.39361118000000000e+08;2.38956802000000000e+08;2.39300770000000000e+08;2.39316450000000000e+08;2.39366695000000000e+08;2.39371786000000000e+08;2.39056629000000000e+08;2.39373348000000000e+08;2.39683875000000000e+08;2.39148542000000000e+08;2.39181430000000000e+08;2.39465282000000000e+08;2.39378449000000000e+08;2.39343399000000000e+08;2.39659173000000000e+08;2.39333938000000000e+08;2.39250597000000000e+08;2.39236350000000000e+08;2.39244261000000000e+08;2.39464501000000000e+08;2.39864563000000000e+08;2.39197162000000000e+08;2.39082426000000000e+08;2.39030613000000000e+08;2.39383015000000000e+08;2.39531746000000000e+08;2.38878591000000000e+08;2.39550977000000000e+08;2.39279145000000000e+08;2.39035716000000000e+08;2.40148929000000000e+08;2.39910059000000000e+08;2.39463923000000000e+08;2.39269399000000000e+08;
m_escape (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
