Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;
m_start (ReduceSum);0.00000000000000000e+00;1.55258000000000000e+05;1.49239000000000000e+05;1.50035000000000000e+05;1.49980000000000000e+05;1.50519000000000000e+05;1.50140000000000000e+05;1.50189000000000000e+05;1.50390000000000000e+05;1.50055000000000000e+05;
m_source (ReduceSum);1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;1.63840000000000000e+04;
m_rr (ReduceSum);0.00000000000000000e+00;7.78500000000000000e+03;1.78700000000000000e+03;2.58800000000000000e+03;2.50600000000000000e+03;3.16900000000000000e+03;2.68700000000000000e+03;2.71500000000000000e+03;2.91500000000000000e+03;2.57000000000000000e+03;
m_split (ReduceSum);1.47456000000000000e+05;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
m_absorb (ReduceSum);3.34100000000000000e+04;5.86710000000000000e+04;5.62370000000000000e+04;5.50320000000000000e+04;5.43710000000000000e+04;5.40760000000000000e+04;5.42870000000000000e+04;5.39410000000000000e+04;5.40970000000000000e+04;5.36410000000000000e+04;
m_scatter (ReduceSum);8.26499000000000000e+05;1.46275500000000000e+06;1.39759300000000000e+06;1.37425900000000000e+06;1.36521900000000000e+06;1.35285900000000000e+06;1.35051000000000000e+06;1.34656200000000000e+06;1.34241700000000000e+06;1.34164800000000000e+06;
m_fission (ReduceSum);4.13150000000000000e+04;7.32910000000000000e+04;7.04570000000000000e+04;6.86880000000000000e+04;6.83190000000000000e+04;6.76730000000000000e+04;6.75350000000000000e+04;6.72860000000000000e+04;6.68770000000000000e+04;6.73230000000000000e+04;
m_produce (ReduceSum);6.61430000000000000e+04;1.17344000000000000e+05;1.12893000000000000e+05;1.09869000000000000e+05;1.09351000000000000e+05;1.08155000000000000e+05;1.08174000000000000e+05;1.07759000000000000e+05;1.07170000000000000e+05;1.07615000000000000e+05;
m_collision (ReduceSum);9.01224000000000000e+05;1.59471700000000000e+06;1.52428700000000000e+06;1.49797900000000000e+06;1.48790900000000000e+06;1.47460800000000000e+06;1.47233200000000000e+06;1.46778900000000000e+06;1.46339100000000000e+06;1.46261200000000000e+06;
m_escape (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
m_census (ReduceSum);1.55258000000000000e+05;1.49239000000000000e+05;1.50035000000000000e+05;1.49980000000000000e+05;1.50519000000000000e+05;1.50140000000000000e+05;1.50189000000000000e+05;1.50390000000000000e+05;1.50055000000000000e+05;1.50520000000000000e+05;
m_num_segments (ReduceSum);1.95889400000000000e+06;3.33995800000000000e+06;3.19985700000000000e+06;3.14531600000000000e+06;3.12590800000000000e+06;3.09962200000000000e+06;3.09399900000000000e+06;3.08648600000000000e+06;3.07561000000000000e+06;3.07608300000000000e+06;
m_end (ReduceSum);1.55258000000000000e+05;1.49239000000000000e+05;1.50035000000000000e+05;1.49980000000000000e+05;1.50519000000000000e+05;1.50140000000000000e+05;1.50189000000000000e+05;1.50390000000000000e+05;1.50055000000000000e+05;1.50520000000000000e+05;
sum_scalar_flux_tally (ReduceSum);3.01399488536003395e+05;8.32263606323972112e+05;1.28784143722584797e+06;1.68773753065564809e+06;2.05898558656463074e+06;2.38523521585804923e+06;2.68058642157598119e+06;2.95747308580732625e+06;3.20727695226016827e+06;3.43193395037494088e+06;
