Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Iteration 39;Iteration 40;Iteration 41;Iteration 42;Iteration 43;Iteration 44;Iteration 45;Iteration 46;Iteration 47;Iteration 48;Iteration 49;Iteration 50;Iteration 51;Iteration 52;Iteration 53;Iteration 54;Iteration 55;Iteration 56;Iteration 57;Iteration 58;Iteration 59;Iteration 60;Iteration 61;Iteration 62;Iteration 63;Iteration 64;Iteration 65;Iteration 66;Iteration 67;Iteration 68;Iteration 69;Iteration 70;Iteration 71;Iteration 72;Iteration 73;Iteration 74;Iteration 75;Iteration 76;Iteration 77;Iteration 78;Iteration 79;Iteration 80;Iteration 81;Iteration 82;Iteration 83;Iteration 84;Iteration 85;Iteration 86;Iteration 87;Iteration 88;Iteration 89;Iteration 90;Iteration 91;Iteration 92;Iteration 93;Iteration 94;Iteration 95;Iteration 96;Iteration 97;Iteration 98;Iteration 99;Iteration 100;
m_start (ReduceSum);0.00000000000000000e+00;6.21814000000000000e+05;5.96971000000000000e+05;5.98980000000000000e+05;6.00540000000000000e+05;6.02129000000000000e+05;6.01698000000000000e+05;6.00678000000000000e+05;6.01658000000000000e+05;6.01459000000000000e+05;6.01317000000000000e+05;6.02238000000000000e+05;6.02065000000000000e+05;6.02750000000000000e+05;6.02531000000000000e+05;6.02003000000000000e+05;6.01668000000000000e+05;6.02296000000000000e+05;6.01363000000000000e+05;6.00959000000000000e+05;6.01830000000000000e+05;6.02037000000000000e+05;6.02857000000000000e+05;6.01054000000000000e+05;6.03018000000000000e+05;6.01940000000000000e+05;6.01402000000000000e+05;6.01433000000000000e+05;6.01789000000000000e+05;6.01829000000000000e+05;6.01921000000000000e+05;6.01815000000000000e+05;6.01255000000000000e+05;6.01585000000000000e+05;6.02549000000000000e+05;6.01561000000000000e+05;6.00994000000000000e+05;6.01382000000000000e+05;6.02178000000000000e+05;6.01574000000000000e+05;6.03156000000000000e+05;6.02525000000000000e+05;6.02240000000000000e+05;6.03118000000000000e+05;6.01480000000000000e+05;6.02337000000000000e+05;6.02577000000000000e+05;6.01209000000000000e+05;6.01620000000000000e+05;6.02973000000000000e+05;6.02179000000000000e+05;6.02486000000000000e+05;6.00889000000000000e+05;6.02947000000000000e+05;6.02379000000000000e+05;6.01735000000000000e+05;6.03397000000000000e+05;6.02804000000000000e+05;6.02363000000000000e+05;6.01241000000000000e+05;6.01371000000000000e+05;6.01601000000000000e+05;6.01946000000000000e+05;6.01769000000000000e+05;6.02415000000000000e+05;6.01802000000000000e+05;6.01646000000000000e+05;6.02386000000000000e+05;6.02870000000000000e+05;6.01692000000000000e+05;6.01546000000000000e+05;6.01052000000000000e+05;6.02113000000000000e+05;6.01576000000000000e+05;6.01158000000000000e+05;6.03396000000000000e+05;6.02773000000000000e+05;6.02740000000000000e+05;6.02365000000000000e+05;6.02846000000000000e+05;6.01922000000000000e+05;6.02053000000000000e+05;6.01938000000000000e+05;6.02041000000000000e+05;6.01626000000000000e+05;6.01805000000000000e+05;6.01650000000000000e+05;6.01953000000000000e+05;6.01838000000000000e+05;6.02569000000000000e+05;6.02450000000000000e+05;6.02843000000000000e+05;6.01232000000000000e+05;6.01427000000000000e+05;6.02142000000000000e+05;6.02430000000000000e+05;6.02064000000000000e+05;6.02721000000000000e+05;6.02845000000000000e+05;6.02190000000000000e+05;
m_source (ReduceSum);6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;6.55360000000000000e+04;
m_rr (ReduceSum);0.00000000000000000e+00;3.18900000000000000e+04;7.06600000000000000e+03;9.28200000000000000e+03;1.07650000000000000e+04;1.24610000000000000e+04;1.17970000000000000e+04;1.09880000000000000e+04;1.19270000000000000e+04;1.16190000000000000e+04;1.15220000000000000e+04;1.22510000000000000e+04;1.22430000000000000e+04;1.29520000000000000e+04;1.27160000000000000e+04;1.22230000000000000e+04;1.19150000000000000e+04;1.24050000000000000e+04;1.14900000000000000e+04;1.12230000000000000e+04;1.20750000000000000e+04;1.23210000000000000e+04;1.32430000000000000e+04;1.10400000000000000e+04;1.33670000000000000e+04;1.18850000000000000e+04;1.16590000000000000e+04;1.16320000000000000e+04;1.18410000000000000e+04;1.20160000000000000e+04;1.21490000000000000e+04;1.19780000000000000e+04;1.15100000000000000e+04;1.18940000000000000e+04;1.28060000000000000e+04;1.18270000000000000e+04;1.13490000000000000e+04;1.15150000000000000e+04;1.22080000000000000e+04;1.18410000000000000e+04;1.32060000000000000e+04;1.26950000000000000e+04;1.22090000000000000e+04;1.31100000000000000e+04;1.16560000000000000e+04;1.24180000000000000e+04;1.27570000000000000e+04;1.13680000000000000e+04;1.20130000000000000e+04;1.32310000000000000e+04;1.23990000000000000e+04;1.26400000000000000e+04;1.11790000000000000e+04;1.32130000000000000e+04;1.24480000000000000e+04;1.18130000000000000e+04;1.35190000000000000e+04;1.31140000000000000e+04;1.27610000000000000e+04;1.14560000000000000e+04;1.15990000000000000e+04;1.19060000000000000e+04;1.22840000000000000e+04;1.18350000000000000e+04;1.24070000000000000e+04;1.19610000000000000e+04;1.18390000000000000e+04;1.24280000000000000e+04;1.31360000000000000e+04;1.20030000000000000e+04;1.18470000000000000e+04;1.11610000000000000e+04;1.24880000000000000e+04;1.18120000000000000e+04;1.12880000000000000e+04;1.34610000000000000e+04;1.28880000000000000e+04;1.28140000000000000e+04;1.26420000000000000e+04;1.31100000000000000e+04;1.23310000000000000e+04;1.21060000000000000e+04;1.21240000000000000e+04;1.23880000000000000e+04;1.17630000000000000e+04;1.19740000000000000e+04;1.18930000000000000e+04;1.24150000000000000e+04;1.19990000000000000e+04;1.27230000000000000e+04;1.26470000000000000e+04;1.30280000000000000e+04;1.14310000000000000e+04;1.17060000000000000e+04;1.23180000000000000e+04;1.27160000000000000e+04;1.20610000000000000e+04;1.26610000000000000e+04;1.31270000000000000e+04;1.23030000000000000e+04;
m_split (ReduceSum);5.89824000000000000e+05;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
m_absorb (ReduceSum);1.32626000000000000e+05;2.33735000000000000e+05;2.24028000000000000e+05;2.19304000000000000e+05;2.17101000000000000e+05;2.15600000000000000e+05;2.15953000000000000e+05;2.14962000000000000e+05;2.14520000000000000e+05;2.14829000000000000e+05;2.14513000000000000e+05;2.14349000000000000e+05;2.13358000000000000e+05;2.13610000000000000e+05;2.13887000000000000e+05;2.14285000000000000e+05;2.13613000000000000e+05;2.13736000000000000e+05;2.13708000000000000e+05;2.13735000000000000e+05;2.13221000000000000e+05;2.12920000000000000e+05;2.13739000000000000e+05;2.12412000000000000e+05;2.13606000000000000e+05;2.14453000000000000e+05;2.13624000000000000e+05;2.13489000000000000e+05;2.13529000000000000e+05;2.13365000000000000e+05;2.12974000000000000e+05;2.13565000000000000e+05;2.13409000000000000e+05;2.13073000000000000e+05;2.13616000000000000e+05;2.14129000000000000e+05;2.13738000000000000e+05;2.13446000000000000e+05;2.13458000000000000e+05;2.12511000000000000e+05;2.13111000000000000e+05;2.12910000000000000e+05;2.13665000000000000e+05;2.13725000000000000e+05;2.13273000000000000e+05;2.13246000000000000e+05;2.13721000000000000e+05;2.13777000000000000e+05;2.12695000000000000e+05;2.12948000000000000e+05;2.12886000000000000e+05;2.13488000000000000e+05;2.13118000000000000e+05;2.13416000000000000e+05;2.13379000000000000e+05;2.13188000000000000e+05;2.13252000000000000e+05;2.13419000000000000e+05;2.13048000000000000e+05;2.13698000000000000e+05;2.14055000000000000e+05;2.13254000000000000e+05;2.13632000000000000e+05;2.13270000000000000e+05;2.13046000000000000e+05;2.12646000000000000e+05;2.12404000000000000e+05;2.12683000000000000e+05;2.12907000000000000e+05;2.13852000000000000e+05;2.13577000000000000e+05;2.13452000000000000e+05;2.14051000000000000e+05;2.13017000000000000e+05;2.12650000000000000e+05;2.12781000000000000e+05;2.12515000000000000e+05;2.12934000000000000e+05;2.13304000000000000e+05;2.14148000000000000e+05;2.13218000000000000e+05;2.13119000000000000e+05;2.13245000000000000e+05;2.14083000000000000e+05;2.13662000000000000e+05;2.13019000000000000e+05;2.13385000000000000e+05;2.12417000000000000e+05;2.13562000000000000e+05;2.12248000000000000e+05;2.13337000000000000e+05;2.13676000000000000e+05;2.12983000000000000e+05;2.13006000000000000e+05;2.13142000000000000e+05;2.13244000000000000e+05;2.12883000000000000e+05;2.12981000000000000e+05;2.12423000000000000e+05;2.13168000000000000e+05;
m_scatter (ReduceSum);3.30927700000000000e+06;5.83775200000000000e+06;5.57589800000000000e+06;5.48709200000000000e+06;5.44501800000000000e+06;5.41433000000000000e+06;5.39007900000000000e+06;5.37880300000000000e+06;5.36884800000000000e+06;5.36278600000000000e+06;5.36487600000000000e+06;5.36012600000000000e+06;5.35844000000000000e+06;5.35146600000000000e+06;5.34758300000000000e+06;5.34913000000000000e+06;5.34725500000000000e+06;5.34247500000000000e+06;5.33639400000000000e+06;5.34066200000000000e+06;5.33809800000000000e+06;5.34138500000000000e+06;5.33043500000000000e+06;5.34345900000000000e+06;5.33711900000000000e+06;5.33010000000000000e+06;5.33720000000000000e+06;5.33423800000000000e+06;5.33239500000000000e+06;5.33072200000000000e+06;5.33230800000000000e+06;5.32682400000000000e+06;5.33504900000000000e+06;5.32572700000000000e+06;5.33327600000000000e+06;5.32508000000000000e+06;5.32535400000000000e+06;5.32454500000000000e+06;5.32738900000000000e+06;5.33546400000000000e+06;5.33905400000000000e+06;5.33243500000000000e+06;5.34016900000000000e+06;5.33629900000000000e+06;5.33602300000000000e+06;5.34780700000000000e+06;5.33392800000000000e+06;5.33333300000000000e+06;5.34188400000000000e+06;5.33121700000000000e+06;5.33205200000000000e+06;5.32655600000000000e+06;5.34255400000000000e+06;5.33579400000000000e+06;5.33232900000000000e+06;5.34481900000000000e+06;5.33990400000000000e+06;5.33170400000000000e+06;5.32264900000000000e+06;5.32066200000000000e+06;5.32991100000000000e+06;5.32422300000000000e+06;5.32942000000000000e+06;5.33155100000000000e+06;5.33062700000000000e+06;5.32502300000000000e+06;5.31939800000000000e+06;5.33301500000000000e+06;5.32429600000000000e+06;5.32897900000000000e+06;5.32266100000000000e+06;5.32717200000000000e+06;5.33059500000000000e+06;5.32052400000000000e+06;5.33403800000000000e+06;5.32912000000000000e+06;5.33239000000000000e+06;5.32723500000000000e+06;5.33044300000000000e+06;5.33319700000000000e+06;5.33044800000000000e+06;5.33006900000000000e+06;5.33175300000000000e+06;5.33052700000000000e+06;5.33384400000000000e+06;5.32773400000000000e+06;5.33081200000000000e+06;5.32723100000000000e+06;5.33093300000000000e+06;5.32930300000000000e+06;5.33658700000000000e+06;5.32584900000000000e+06;5.32141200000000000e+06;5.32882100000000000e+06;5.33791800000000000e+06;5.32618100000000000e+06;5.33824400000000000e+06;5.33931400000000000e+06;5.32810600000000000e+06;5.33572100000000000e+06;
m_fission (ReduceSum);1.65601000000000000e+05;2.91721000000000000e+05;2.78821000000000000e+05;2.74279000000000000e+05;2.72370000000000000e+05;2.70106000000000000e+05;2.68789000000000000e+05;2.69008000000000000e+05;2.67556000000000000e+05;2.68498000000000000e+05;2.68734000000000000e+05;2.67690000000000000e+05;2.67990000000000000e+05;2.67317000000000000e+05;2.68038000000000000e+05;2.67843000000000000e+05;2.67846000000000000e+05;2.67022000000000000e+05;2.66111000000000000e+05;2.66832000000000000e+05;2.66708000000000000e+05;2.67208000000000000e+05;2.66116000000000000e+05;2.66293000000000000e+05;2.66668000000000000e+05;2.66610000000000000e+05;2.66405000000000000e+05;2.66713000000000000e+05;2.66922000000000000e+05;2.66200000000000000e+05;2.66248000000000000e+05;2.66378000000000000e+05;2.66386000000000000e+05;2.67205000000000000e+05;2.66527000000000000e+05;2.66539000000000000e+05;2.66184000000000000e+05;2.66963000000000000e+05;2.65482000000000000e+05;2.67053000000000000e+05;2.66460000000000000e+05;2.66216000000000000e+05;2.68179000000000000e+05;2.66192000000000000e+05;2.66817000000000000e+05;2.67638000000000000e+05;2.66244000000000000e+05;2.66613000000000000e+05;2.67435000000000000e+05;2.66749000000000000e+05;2.66134000000000000e+05;2.65451000000000000e+05;2.66862000000000000e+05;2.67216000000000000e+05;2.66524000000000000e+05;2.67676000000000000e+05;2.67765000000000000e+05;2.66634000000000000e+05;2.65732000000000000e+05;2.66115000000000000e+05;2.67093000000000000e+05;2.66476000000000000e+05;2.67133000000000000e+05;2.66966000000000000e+05;2.65796000000000000e+05;2.65087000000000000e+05;2.66124000000000000e+05;2.66343000000000000e+05;2.66074000000000000e+05;2.66419000000000000e+05;2.66243000000000000e+05;2.66095000000000000e+05;2.67364000000000000e+05;2.65158000000000000e+05;2.66696000000000000e+05;2.66482000000000000e+05;2.66220000000000000e+05;2.66248000000000000e+05;2.67913000000000000e+05;2.66984000000000000e+05;2.66553000000000000e+05;2.66096000000000000e+05;2.66471000000000000e+05;2.67390000000000000e+05;2.66554000000000000e+05;2.66243000000000000e+05;2.66728000000000000e+05;2.65730000000000000e+05;2.66953000000000000e+05;2.65954000000000000e+05;2.67888000000000000e+05;2.65663000000000000e+05;2.65594000000000000e+05;2.66297000000000000e+05;2.67070000000000000e+05;2.66470000000000000e+05;2.66536000000000000e+05;2.66675000000000000e+05;2.65942000000000000e+05;2.66618000000000000e+05;
m_produce (ReduceSum);2.64681000000000000e+05;4.66967000000000000e+05;4.46388000000000000e+05;4.38889000000000000e+05;4.36289000000000000e+05;4.32200000000000000e+05;4.29983000000000000e+05;4.30402000000000000e+05;4.28268000000000000e+05;4.29268000000000000e+05;4.30154000000000000e+05;4.28581000000000000e+05;4.28740000000000000e+05;4.28124000000000000e+05;4.28577000000000000e+05;4.28480000000000000e+05;4.28466000000000000e+05;4.26694000000000000e+05;4.25369000000000000e+05;4.27125000000000000e+05;4.26675000000000000e+05;4.27733000000000000e+05;4.25759000000000000e+05;4.26173000000000000e+05;4.27027000000000000e+05;4.26874000000000000e+05;4.26183000000000000e+05;4.26654000000000000e+05;4.26796000000000000e+05;4.26137000000000000e+05;4.25729000000000000e+05;4.25825000000000000e+05;4.26099000000000000e+05;4.27600000000000000e+05;4.26425000000000000e+05;4.26392000000000000e+05;4.26123000000000000e+05;4.27184000000000000e+05;4.25008000000000000e+05;4.27451000000000000e+05;4.26610000000000000e+05;4.26000000000000000e+05;4.29395000000000000e+05;4.25853000000000000e+05;4.27067000000000000e+05;4.28006000000000000e+05;4.25818000000000000e+05;4.26633000000000000e+05;4.27960000000000000e+05;4.26598000000000000e+05;4.26190000000000000e+05;4.24446000000000000e+05;4.27681000000000000e+05;4.27741000000000000e+05;4.26171000000000000e+05;4.28803000000000000e+05;4.28407000000000000e+05;4.27190000000000000e+05;4.24883000000000000e+05;4.25863000000000000e+05;4.27441000000000000e+05;4.26445000000000000e+05;4.27336000000000000e+05;4.27181000000000000e+05;4.25100000000000000e+05;4.24002000000000000e+05;4.25571000000000000e+05;4.26402000000000000e+05;4.25403000000000000e+05;4.26592000000000000e+05;4.25637000000000000e+05;4.26233000000000000e+05;4.27830000000000000e+05;4.24033000000000000e+05;4.27336000000000000e+05;4.26565000000000000e+05;4.26054000000000000e+05;4.26085000000000000e+05;4.28804000000000000e+05;4.27782000000000000e+05;4.26697000000000000e+05;4.25670000000000000e+05;4.26407000000000000e+05;4.27910000000000000e+05;4.26622000000000000e+05;4.25545000000000000e+05;4.26773000000000000e+05;4.24911000000000000e+05;4.27709000000000000e+05;4.25270000000000000e+05;4.28729000000000000e+05;4.25220000000000000e+05;4.24667000000000000e+05;4.26188000000000000e+05;4.27282000000000000e+05;4.26528000000000000e+05;4.26601000000000000e+05;4.26905000000000000e+05;4.25301000000000000e+05;4.26594000000000000e+05;
m_collision (ReduceSum);3.60750400000000000e+06;6.36320800000000000e+06;6.07874700000000000e+06;5.98067500000000000e+06;5.93448900000000000e+06;5.90003600000000000e+06;5.87482100000000000e+06;5.86277300000000000e+06;5.85092400000000000e+06;5.84611300000000000e+06;5.84812300000000000e+06;5.84216500000000000e+06;5.83978800000000000e+06;5.83239300000000000e+06;5.82950800000000000e+06;5.83125800000000000e+06;5.82871400000000000e+06;5.82323300000000000e+06;5.81621300000000000e+06;5.82122900000000000e+06;5.81802700000000000e+06;5.82151300000000000e+06;5.81029000000000000e+06;5.82216400000000000e+06;5.81739300000000000e+06;5.81116300000000000e+06;5.81722900000000000e+06;5.81444000000000000e+06;5.81284600000000000e+06;5.81028700000000000e+06;5.81153000000000000e+06;5.80676700000000000e+06;5.81484400000000000e+06;5.80600500000000000e+06;5.81341900000000000e+06;5.80574800000000000e+06;5.80527600000000000e+06;5.80495400000000000e+06;5.80632900000000000e+06;5.81502800000000000e+06;5.81862500000000000e+06;5.81156100000000000e+06;5.82201300000000000e+06;5.81621600000000000e+06;5.81611300000000000e+06;5.82869100000000000e+06;5.81389300000000000e+06;5.81372300000000000e+06;5.82201400000000000e+06;5.81091400000000000e+06;5.81107200000000000e+06;5.80549500000000000e+06;5.82253400000000000e+06;5.81642600000000000e+06;5.81223200000000000e+06;5.82568300000000000e+06;5.82092100000000000e+06;5.81175700000000000e+06;5.80142900000000000e+06;5.80047500000000000e+06;5.81105900000000000e+06;5.80395300000000000e+06;5.81018500000000000e+06;5.81178700000000000e+06;5.80946900000000000e+06;5.80275600000000000e+06;5.79792600000000000e+06;5.81204100000000000e+06;5.80327700000000000e+06;5.80925000000000000e+06;5.80248100000000000e+06;5.80671900000000000e+06;5.81201000000000000e+06;5.79869900000000000e+06;5.81338400000000000e+06;5.80838300000000000e+06;5.81112500000000000e+06;5.80641700000000000e+06;5.81166000000000000e+06;5.81432900000000000e+06;5.81021900000000000e+06;5.80928400000000000e+06;5.81146900000000000e+06;5.81200000000000000e+06;5.81406000000000000e+06;5.80699600000000000e+06;5.81092500000000000e+06;5.80537800000000000e+06;5.81144800000000000e+06;5.80750500000000000e+06;5.81781200000000000e+06;5.80518800000000000e+06;5.79998900000000000e+06;5.80812400000000000e+06;5.81813000000000000e+06;5.80589500000000000e+06;5.81766300000000000e+06;5.81897000000000000e+06;5.80647100000000000e+06;5.81550700000000000e+06;
m_escape (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
