Results_P0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;
m_start (ReduceSum);0.00000000000000000e+00;3.61656100000000000e+06;2.81484400000000000e+06;2.98424100000000000e+06;2.95356500000000000e+06;2.95317900000000000e+06;2.96106100000000000e+06;2.95300800000000000e+06;2.95739200000000000e+06;2.96120600000000000e+06;
m_source (ReduceSum);1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;1.25829120000000000e+07;
m_rr (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;1.49229000000000000e+05;1.35764000000000000e+05;1.32719000000000000e+05;1.40183000000000000e+05;1.47489000000000000e+05;1.41899000000000000e+05;1.54024000000000000e+05;
m_split (ReduceSum);1.15416023000000000e+08;1.11800390000000000e+08;1.12601849000000000e+08;1.12433963000000000e+08;1.12464519000000000e+08;1.12462056000000000e+08;1.12457356000000000e+08;1.12465323000000000e+08;1.12458492000000000e+08;1.12455551000000000e+08;
m_absorb (ReduceSum);4.97582957000000000e+08;5.00687479000000000e+08;5.00135393000000000e+08;4.99577301000000000e+08;4.99392635000000000e+08;4.99463776000000000e+08;4.99612004000000000e+08;4.99780639000000000e+08;4.99643893000000000e+08;4.99506528000000000e+08;
m_scatter (ReduceSum);1.24396632380000000e+10;1.25168043900000000e+10;1.25041565790000000e+10;1.24894434660000000e+10;1.24828588610000000e+10;1.24856150160000000e+10;1.24899900240000000e+10;1.24956592070000000e+10;1.24912778490000000e+10;1.24866038640000000e+10;
m_fission (ReduceSum);6.22009556000000000e+08;6.25831605000000000e+08;6.25210029000000000e+08;6.24466916000000000e+08;6.24140431000000000e+08;6.24311212000000000e+08;6.24484986000000000e+08;6.24774745000000000e+08;6.24567769000000000e+08;6.24360419000000000e+08;
m_produce (ReduceSum);9.95210139000000000e+08;1.00133406500000000e+09;1.00033005800000000e+09;9.99145895000000000e+08;9.98621013000000000e+08;9.98870621000000000e+08;9.99188852000000000e+08;9.99659022000000000e+08;9.99315971000000000e+08;9.98981267000000000e+08;
m_collision (ReduceSum);1.35592557510000000e+10;1.36433234740000000e+10;1.36295020010000000e+10;1.36134876830000000e+10;1.36063919270000000e+10;1.36093900040000000e+10;1.36140870140000000e+10;1.36202145910000000e+10;1.36154895110000000e+10;1.36104708110000000e+10;
m_escape (ReduceSum);0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;0.00000000000000000e+00;
m_census (ReduceSum);3.61656100000000000e+06;2.81484400000000000e+06;2.98424100000000000e+06;2.95356500000000000e+06;2.95317900000000000e+06;2.96106100000000000e+06;2.95300800000000000e+06;2.95739200000000000e+06;2.96120600000000000e+06;2.95996500000000000e+06;
m_num_segments (ReduceSum);1.49187683510000000e+10;1.50105486730000000e+10;1.49954757280000000e+10;1.49776339490000000e+10;1.49700734610000000e+10;1.49733503520000000e+10;1.49783792220000000e+10;1.49852186760000000e+10;1.49799649870000000e+10;1.49743858270000000e+10;
m_end (ReduceSum);3.61656100000000000e+06;2.81484400000000000e+06;2.98424100000000000e+06;2.95356500000000000e+06;2.95317900000000000e+06;2.96106100000000000e+06;2.95300800000000000e+06;2.95739200000000000e+06;2.96120600000000000e+06;2.95996500000000000e+06;
sum_scalar_flux_tally (ReduceSum);2.91181425726283625e+14;2.99512107932106062e+14;2.99701952850432500e+14;2.99567668313850000e+14;2.99455002001990375e+14;2.99486822189660250e+14;2.99656238148773375e+14;2.99750819836276500e+14;2.99600469900268125e+14;2.99538753331624312e+14;
